,Mandante,Visitante,Rodada,Classe,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante
6799,Flamengo,Atlético-mg,1,0,11952,0,0,14312,0,0
6800,Corinthians,Chapecoense,1,0,14328,0,0,7596,0,0
6801,Avaí,Vitória,1,0,5894,0,0,7547,0,0
6802,Bahia,Athlético-pr,1,1,6698,0,0,11012,0,0
6803,Cruzeiro,São paulo,1,1,14202,0,0,12430,0,0
6804,Fluminense,Santos,1,1,11668,0,0,14574,0,0
6805,Grêmio,Botafogo-rj,1,1,15038,0,0,10936,0,0
6806,Palmeiras,Vasco,1,1,14720,0,0,10040,0,0
6807,Ponte preta,Sport,1,1,9076,0,0,8019,0,0
6808,Coritiba,Atlético-go,1,1,9414,0,0,5443,0,0
6809,Chapecoense,Palmeiras,2,1,7596,1,0,14720,3,4
6810,Atlético-go,Flamengo,2,-1,5443,0,-3,11952,1,0
6811,Santos,Coritiba,2,1,14574,0,-1,9414,3,3
6812,Sport,Cruzeiro,2,0,8019,0,-4,14202,3,1
6813,Botafogo-rj,Ponte preta,2,1,10936,0,-2,9076,3,4
6814,Vitória,Corinthians,2,-1,7547,1,0,14328,1,0
6815,Atlético-mg,Fluminense,2,-1,14312,1,0,11668,3,1
6816,Athlético-pr,Grêmio,2,-1,11012,0,-4,15038,3,2
6817,Vasco,Bahia,2,1,10040,0,-4,6698,3,4
6818,São paulo,Avaí,2,1,12430,0,-1,5894,1,0
6819,Vitória,Coritiba,3,-1,7547,1,-1,9414,3,2
6820,São paulo,Palmeiras,3,1,12430,3,1,14720,3,3
6821,Vasco,Fluminense,3,1,10040,3,-3,11668,6,2
6822,Athlético-pr,Flamengo,3,0,11012,0,-6,11952,4,3
6823,Atlético-mg,Ponte preta,3,0,14312,1,-1,9076,3,2
6824,Botafogo-rj,Bahia,3,1,10936,3,0,6698,3,3
6825,Atlético-go,Corinthians,3,-1,5443,0,-6,14328,4,1
6826,Santos,Cruzeiro,3,-1,14574,3,0,14202,4,1
6827,Sport,Grêmio,3,1,8019,1,-4,15038,6,4
6828,Chapecoense,Avaí,3,1,7596,4,1,5894,1,-2
6829,Corinthians,Santos,4,1,14328,7,2,14574,3,-1
6830,Coritiba,Athlético-pr,4,1,9414,6,3,11012,1,-6
6831,Fluminense,Vitória,4,1,11668,6,1,7547,1,-2
6832,Palmeiras,Atlético-mg,4,0,14720,3,1,14312,2,-1
6833,Flamengo,Botafogo-rj,4,0,11952,5,3,10936,6,1
6834,Avaí,Sport,4,1,5894,1,-4,8019,4,-3
6835,Cruzeiro,Chapecoense,4,-1,14202,7,2,7596,7,3
6836,Grêmio,Vasco,4,1,15038,6,3,10040,6,-2
6837,Ponte preta,São paulo,4,1,9076,4,2,12430,6,3
6838,Bahia,Atlético-go,4,1,6698,3,2,5443,0,-7
6839,Fluminense,Athlético-pr,5,0,11668,9,2,11012,1,-7
6840,Atlético-mg,Avaí,5,1,14312,3,-1,5894,4,-3
6841,Vasco,Corinthians,5,-1,10040,6,-4,14328,10,4
6842,Coritiba,Palmeiras,5,1,9414,9,4,14720,4,1
6843,Santos,Botafogo-rj,5,1,14574,3,-3,10936,7,1
6844,Sport,Flamengo,5,1,8019,4,-4,11952,6,3
6845,Atlético-go,Ponte preta,5,1,5443,0,-10,9076,7,3
6846,Bahia,Cruzeiro,5,1,6698,6,5,14202,7,0
6847,Chapecoense,Grêmio,5,-1,7596,10,5,15038,9,5
6848,São paulo,Vitória,5,1,12430,6,2,7547,1,-3
6849,Palmeiras,Fluminense,6,1,14720,4,0,11668,10,2
6850,Vasco,Sport,6,1,10040,6,-7,8019,7,-2
6851,Botafogo-rj,Coritiba,6,0,10936,7,0,9414,12,5
6852,Avaí,Flamengo,6,0,5894,4,-4,11952,6,1
6853,Corinthians,São paulo,6,1,14328,13,7,12430,9,4
6854,Cruzeiro,Atlético-go,6,1,14202,7,-1,5443,3,-7
6855,Ponte preta,Chapecoense,6,1,9076,7,0,7596,10,2
6856,Athlético-pr,Santos,6,-1,11012,2,-7,14574,6,-2
6857,Vitória,Atlético-mg,6,1,7547,1,-5,14312,6,0
6858,Grêmio,Bahia,6,1,15038,12,8,6698,9,6
6859,Vitória,Botafogo-rj,7,0,7547,4,-3,10936,8,0
6860,Sport,São paulo,7,0,8019,7,-3,12430,9,3
6861,Atlético-go,Avaí,7,1,5443,3,-9,5894,5,-4
6862,Atlético-mg,Athlético-pr,7,-1,14312,6,-2,11012,2,-9
6863,Chapecoense,Vasco,7,1,7596,10,1,10040,9,-6
6864,Corinthians,Cruzeiro,7,1,14328,16,8,14202,10,1
6865,Flamengo,Ponte preta,7,1,11952,7,1,9076,10,1
6866,Santos,Palmeiras,7,1,14574,9,0,14720,7,2
6867,Coritiba,Bahia,7,0,9414,13,5,6698,9,5
6868,Fluminense,Grêmio,7,-1,11668,10,0,15038,15,9
6869,Santos,Ponte preta,8,0,14574,12,1,9076,10,-1
6870,Atlético-go,Athlético-pr,8,-1,5443,6,-7,11012,5,-8
6871,Vasco,Avaí,8,1,10040,9,-7,5894,5,-6
6872,Coritiba,Corinthians,8,0,9414,14,5,14328,19,9
6873,Fluminense,Flamengo,8,0,11668,10,-2,11952,10,3
6874,São paulo,Atlético-mg,8,-1,12430,10,3,14312,6,-3
6875,Chapecoense,Botafogo-rj,8,-1,7596,13,2,10936,9,0
6876,Bahia,Palmeiras,8,-1,6698,10,5,14720,7,1
6877,Sport,Vitória,8,-1,8019,8,-3,7547,5,-3
6878,Cruzeiro,Grêmio,8,0,14202,10,0,15038,18,11
6879,Atlético-mg,Sport,9,0,14312,9,-2,8019,8,-5
6880,Athlético-pr,São paulo,9,1,11012,8,-7,12430,10,2
6881,Botafogo-rj,Vasco,9,1,10936,12,2,10040,12,-6
6882,Avaí,Fluminense,9,-1,5894,5,-7,11668,11,-2
