,Mandante,Visitante,Rodada,Classe,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante
5659,Chapecoense,Coritiba,1,0,3557,0,0,11572,0,0
5660,Fluminense,Figueirense,1,1,14424,0,0,6248,0,0
5661,Internacional,Vitória,1,1,13936,0,0,9468,0,0
5662,Atlético-mg,Corinthians,1,0,11228,0,0,15048,0,0
5663,Flamengo,Goiás,1,0,14776,0,0,11526,0,0
5664,Santos,Sport,1,0,12980,0,0,6740,0,0
5665,Athlético-pr,Grêmio,1,1,12952,0,0,15286,0,0
5666,Bahia,Cruzeiro,1,-1,9406,0,0,13512,0,0
5667,Criciúma,Palmeiras,1,-1,5818,0,0,12680,0,0
5668,São paulo,Botafogo-rj,1,1,13712,0,0,11764,0,0
5669,Coritiba,Santos,2,0,11572,1,0,12980,1,0
5670,Palmeiras,Fluminense,2,-1,12680,3,1,14424,3,3
5671,Vitória,Athlético-pr,2,0,9468,0,-1,12952,3,1
5672,Botafogo-rj,Internacional,2,0,11764,0,-3,13936,3,1
5673,Cruzeiro,São paulo,2,0,13512,3,1,13712,3,3
5674,Figueirense,Bahia,2,-1,6248,0,-3,9406,0,-1
5675,Corinthians,Flamengo,2,1,15048,1,0,14776,1,0
5676,Goiás,Criciúma,2,1,11526,1,0,5818,0,-1
5677,Grêmio,Atlético-mg,2,1,15286,0,-1,11228,1,0
5678,Sport,Chapecoense,2,1,6740,1,0,3557,1,0
5679,São paulo,Coritiba,3,0,13712,4,3,11572,2,0
5680,Santos,Grêmio,3,0,12980,2,0,15286,3,0
5681,Athlético-pr,Cruzeiro,3,-1,12952,4,1,13512,4,1
5682,Fluminense,Vitória,3,-1,14424,6,4,9468,1,-1
5683,Bahia,Botafogo-rj,3,1,9406,3,1,11764,1,-3
5684,Chapecoense,Corinthians,3,-1,3557,1,-1,15048,4,2
5685,Criciúma,Figueirense,3,1,5818,0,-2,6248,0,-5
5686,Flamengo,Palmeiras,3,1,14776,1,-2,12680,3,0
5687,Atlético-mg,Goiás,3,-1,11228,1,-1,11526,4,1
5688,Internacional,Sport,3,1,13936,4,1,6740,4,1
5689,Botafogo-rj,Criciúma,4,1,11764,1,-4,5818,3,-1
5690,Internacional,Athlético-pr,4,1,13936,7,2,12952,4,0
5691,Palmeiras,Goiás,4,1,12680,3,-2,11526,7,2
5692,São paulo,Corinthians,4,0,13712,5,3,15048,7,3
5693,Bahia,Vitória,4,0,9406,6,2,9468,4,0
5694,Atlético-mg,Cruzeiro,4,1,11228,1,-2,13512,7,2
5695,Fluminense,Flamengo,4,1,14424,6,3,14776,4,0
5696,Chapecoense,Grêmio,4,-1,3557,1,-2,15286,4,0
5697,Figueirense,Santos,4,-1,6248,0,-6,12980,3,0
5698,Coritiba,Sport,4,-1,11572,3,0,6740,4,0
5699,Goiás,Botafogo-rj,5,1,11526,7,0,11764,4,2
5700,Cruzeiro,Coritiba,5,1,13512,7,1,11572,3,-1
5701,Athlético-pr,Chapecoense,5,0,12952,4,-1,3557,1,-3
5702,Criciúma,Internacional,5,0,5818,3,-7,13936,10,3
5703,Santos,Atlético-mg,5,-1,12980,6,2,11228,4,-1
5704,Corinthians,Figueirense,5,-1,15048,8,3,6248,0,-8
5705,Grêmio,Fluminense,5,1,15286,7,1,14424,9,5
5706,Vitória,Palmeiras,5,-1,9468,5,0,12680,6,0
5707,Flamengo,São paulo,5,-1,14776,4,-2,13712,6,3
5708,Corinthians,Athlético-pr,6,0,15048,8,2,12952,5,-1
5709,Flamengo,Bahia,6,0,14776,4,-4,9406,7,1
5710,Coritiba,Internacional,6,0,11572,3,-2,13936,11,3
5711,Criciúma,Chapecoense,6,1,5818,4,-7,3557,2,-3
5712,Cruzeiro,Sport,6,1,13512,10,2,6740,10,2
5713,Fluminense,São paulo,6,1,14424,9,4,13712,9,5
5714,Grêmio,Botafogo-rj,6,1,15286,10,2,11764,4,0
5715,Goiás,Santos,6,0,11526,10,2,12980,6,1
5716,Vitória,Atlético-mg,6,-1,9468,5,-1,11228,7,0
5717,Palmeiras,Figueirense,6,1,12680,9,1,6248,3,-7
5718,Bahia,Fluminense,7,-1,9406,8,1,14424,12,7
5719,São paulo,Grêmio,7,1,13712,9,2,15286,13,3
5720,Atlético-mg,Criciúma,7,0,11228,10,1,5818,7,-6
5721,Santos,Flamengo,7,0,12980,7,1,14776,5,-4
5722,Botafogo-rj,Vitória,7,0,11764,4,-1,9468,5,-2
5723,Athlético-pr,Coritiba,7,1,12952,6,-1,11572,4,-2
5724,Chapecoense,Palmeiras,7,1,3557,2,-4,12680,12,2
5725,Sport,Corinthians,7,-1,6740,10,0,15048,9,2
5726,Internacional,Cruzeiro,7,-1,13936,12,3,13512,13,4
5727,Figueirense,Goiás,7,-1,6248,3,-8,11526,11,2
5728,Sport,Grêmio,8,0,6740,10,-3,15286,13,2
5729,Athlético-pr,São paulo,8,0,12952,9,1,13712,12,3
5730,Goiás,Vitória,8,0,11526,14,3,9468,6,-2
5731,Atlético-mg,Fluminense,8,1,11228,11,1,14424,15,8
