,Mandante,Visitante,Rodada,Classe,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante
7179,Vitória,Flamengo,1,0,7690,0,0,12796,0,0
7180,Cruzeiro,Grêmio,1,-1,15288,0,0,15092,0,0
7181,Santos,Ceará,1,1,14884,0,0,5553,0,0
7182,América-mg,Sport,1,1,6255,0,0,8770,0,0
7183,Athlético-pr,Chapecoense,1,1,11718,0,0,9010,0,0
7184,Corinthians,Fluminense,1,1,14076,0,0,10926,0,0
7185,Internacional,Bahia,1,1,11368,0,0,6647,0,0
7186,Vasco,Atlético-mg,1,1,9322,0,0,14312,0,0
7187,Botafogo-rj,Palmeiras,1,0,11958,0,0,15288,0,0
7188,São paulo,Paraná,1,1,11098,0,0,5244,0,0
7189,Bahia,Santos,2,1,6647,0,-2,14884,3,2
7190,Flamengo,América-mg,2,1,12796,1,0,6255,3,3
7191,Grêmio,Athlético-pr,2,0,15092,3,1,11718,3,4
7192,Ceará,São paulo,2,0,5553,0,-2,11098,3,1
7193,Chapecoense,Vasco,2,0,9010,0,-4,9322,3,1
7194,Atlético-mg,Vitória,2,1,14312,0,-1,7690,1,0
7195,Paraná,Corinthians,2,-1,5244,0,-1,14076,3,1
7196,Fluminense,Cruzeiro,2,1,10926,0,-1,15288,0,-1
7197,Palmeiras,Internacional,2,1,15288,1,0,11368,3,2
7198,Sport,Botafogo-rj,2,0,8770,0,-3,11958,1,0
7199,Botafogo-rj,Grêmio,3,1,11958,2,0,15092,4,1
7200,Bahia,Athlético-pr,3,0,6647,3,-1,11718,4,4
7201,Palmeiras,Chapecoense,3,0,15288,4,1,9010,1,-4
7202,Internacional,Cruzeiro,3,0,11368,3,1,15288,0,-2
7203,Fluminense,São paulo,3,0,10926,3,0,11098,4,1
7204,Atlético-mg,Corinthians,3,1,14312,3,0,14076,6,5
7205,Ceará,Flamengo,3,-1,5553,1,-2,12796,4,2
7206,Paraná,Sport,3,-1,5244,0,-5,8770,1,-3
7207,América-mg,Vitória,3,1,6255,3,1,7690,1,-1
7208,São paulo,Atlético-mg,4,0,11098,5,1,14312,6,1
7209,Vasco,América-mg,4,1,9322,5,1,6255,6,2
7210,Corinthians,Ceará,4,0,14076,6,4,5553,1,-5
7211,Cruzeiro,Botafogo-rj,4,1,15288,1,-2,11958,5,1
7212,Flamengo,Internacional,4,1,12796,7,5,11368,4,1
7213,Vitória,Fluminense,4,-1,7690,1,-2,10926,4,0
7214,Grêmio,Santos,4,1,15092,4,0,14884,4,1
7215,Athlético-pr,Palmeiras,4,-1,11718,5,4,15288,5,1
7216,Sport,Bahia,4,1,8770,4,-2,6647,4,-1
7217,Chapecoense,Paraná,4,0,9010,2,-4,5244,0,-6
7218,Grêmio,Internacional,5,0,15092,7,4,11368,4,-1
7219,Bahia,São paulo,5,0,6647,4,-3,11098,6,1
7220,Athlético-pr,Atlético-mg,5,-1,11718,5,2,14312,7,1
7221,Chapecoense,Flamengo,5,1,9010,3,-4,12796,10,7
7222,Corinthians,Palmeiras,5,1,14076,7,4,15288,8,3
7223,Cruzeiro,Sport,5,1,15288,4,-1,8770,7,0
7224,Santos,Paraná,5,1,14884,4,-3,5244,1,-6
7225,Vasco,Vitória,5,-1,9322,8,4,7690,1,-3
7226,Ceará,América-mg,5,0,5553,2,-5,6255,6,-1
7227,Botafogo-rj,Fluminense,5,1,11958,5,0,10926,7,1
7228,Flamengo,Vasco,6,0,12796,10,6,9322,8,3
7229,Atlético-mg,Cruzeiro,6,1,14312,10,2,15288,7,1
7230,Palmeiras,Bahia,6,1,15288,8,2,6647,5,-3
7231,Sport,Corinthians,6,0,8770,7,-2,14076,10,5
7232,Paraná,Grêmio,6,0,5244,1,-8,15092,8,4
7233,América-mg,Botafogo-rj,6,1,6255,7,-1,11958,8,1
7234,Fluminense,Athlético-pr,6,1,10926,7,0,11718,5,1
7235,São paulo,Santos,6,1,11098,7,1,14884,7,-1
7236,Vitória,Ceará,6,1,7690,4,-2,5553,3,-5
7237,Internacional,Chapecoense,6,1,11368,5,-1,9010,6,-3
7238,Atlético-mg,Flamengo,7,-1,14312,13,3,12796,11,6
7239,Fluminense,Chapecoense,7,1,10926,10,2,9010,6,-6
7240,Palmeiras,Sport,7,-1,15288,11,5,8770,8,-2
7241,Paraná,Athlético-pr,7,0,5244,2,-8,11718,5,-1
7242,Botafogo-rj,Vitória,7,0,11958,8,0,7690,7,-1
7243,Bahia,Vasco,7,1,6647,5,-6,9322,9,3
7244,Santos,Cruzeiro,7,-1,14884,7,-2,15288,7,0
7245,Ceará,Grêmio,7,-1,5553,3,-6,15092,9,4
7246,Internacional,Corinthians,7,1,11368,8,2,14076,11,5
7247,América-mg,São paulo,7,-1,6255,10,0,11098,10,2
7248,Grêmio,Fluminense,8,0,15092,12,5,10926,13,4
7249,Chapecoense,Ceará,8,1,9010,6,-8,5553,3,-7
7250,Cruzeiro,Palmeiras,8,1,15288,10,1,15288,11,4
7251,Vitória,Internacional,8,-1,7690,8,-1,11368,11,3
7252,São paulo,Botafogo-rj,8,1,11098,13,4,11958,9,0
7253,Sport,Atlético-mg,8,1,8770,11,-1,14312,13,2
7254,Vasco,Paraná,8,1,9322,9,0,5244,3,-8
7255,Athlético-pr,Santos,8,1,11718,6,-1,14884,7,-3
7256,Corinthians,América-mg,8,1,14076,11,4,6255,10,-2
7257,Flamengo,Bahia,8,1,12796,14,7,6647,8,-3
7258,Atlético-mg,Chapecoense,9,0,14312,13,1,9010,9,-6
