,Mandante,Visitante,Rodada,Classe,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante
6039,Palmeiras,Atlético-mg,1,0,11584,0,0,13224,0,0
6040,Chapecoense,Coritiba,1,1,5150,0,0,11036,0,0
6041,Fluminense,Joinville,1,1,12708,0,0,4699,0,0
6042,Vasco,Goiás,1,0,12132,0,0,10525,0,0
6043,Grêmio,Ponte preta,1,0,13992,0,0,7440,0,0
6044,Avaí,Santos,1,0,6364,0,0,13530,0,0
6045,Athlético-pr,Internacional,1,1,12524,0,0,12628,0,0
6046,Cruzeiro,Corinthians,1,-1,15328,0,0,14680,0,0
6047,São paulo,Flamengo,1,1,12738,0,0,14578,0,0
6048,Sport,Figueirense,1,1,6970,0,0,6898,0,0
6049,Corinthians,Chapecoense,2,1,14680,3,1,5150,3,1
6050,Coritiba,Grêmio,2,1,11036,0,-1,13992,1,0
6051,Goiás,Athlético-pr,2,1,10525,1,0,12524,3,3
6052,Joinville,Palmeiras,2,0,4699,0,-1,11584,1,0
6053,Flamengo,Sport,2,0,14578,0,-1,6970,3,3
6054,Figueirense,Vasco,2,0,6898,0,-3,12132,1,0
6055,Atlético-mg,Fluminense,2,1,13224,1,0,12708,3,1
6056,Internacional,Avaí,2,1,12628,0,-3,6364,1,0
6057,Ponte preta,São paulo,2,1,7440,1,0,12738,3,1
6058,Santos,Cruzeiro,2,1,13530,1,0,15328,0,-1
6059,Vasco,Internacional,3,0,12132,2,0,12628,3,-2
6060,Grêmio,Figueirense,3,1,13992,1,-2,6898,1,-3
6061,São paulo,Joinville,3,1,12738,3,0,4699,1,-1
6062,Fluminense,Corinthians,3,0,12708,3,-2,14680,6,2
6063,Cruzeiro,Ponte preta,3,0,15328,0,-2,7440,4,1
6064,Athlético-pr,Atlético-mg,3,1,12524,3,1,13224,4,3
6065,Avaí,Flamengo,3,1,6364,1,-1,14578,1,-1
6066,Chapecoense,Santos,3,1,5150,3,0,13530,4,1
6067,Palmeiras,Goiás,3,-1,11584,2,0,10525,4,2
6068,Sport,Coritiba,3,1,6970,4,3,11036,3,1
6069,Joinville,Athlético-pr,4,-1,4699,1,-4,12524,6,2
6070,Coritiba,Avaí,4,-1,11036,3,0,6364,4,0
6071,Ponte preta,Chapecoense,4,1,7440,5,1,5150,6,1
6072,Goiás,Grêmio,4,0,10525,7,3,13992,4,-1
6073,Internacional,São paulo,4,0,12628,4,-2,12738,6,3
