,Mandante,Visitante,Rodada,Classe,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante
6419,Atlético-mg,Santos,1,1,13244,0,0,13936,0,0
6420,Coritiba,Cruzeiro,1,1,10686,0,0,14064,0,0
6421,Flamengo,Sport,1,1,13288,0,0,7928,0,0
6422,Palmeiras,Athlético-pr,1,1,13056,0,0,11218,0,0
6423,Internacional,Chapecoense,1,0,13000,0,0,6336,0,0
6424,Corinthians,Grêmio,1,0,14664,0,0,14210,0,0
6425,Figueirense,Ponte preta,1,0,9012,0,0,8080,0,0
6426,América-mg,Fluminense,1,-1,5202,0,0,12682,0,0
6427,Santa cruz,Vitória,1,1,4310,0,0,7166,0,0
6428,Botafogo-rj,São paulo,1,-1,10932,0,0,13374,0,0
6429,Cruzeiro,Figueirense,2,0,14064,0,-1,9012,1,0
6430,Fluminense,Santa cruz,2,0,12682,3,1,4310,3,3
6431,Ponte preta,Palmeiras,2,1,8080,1,0,13056,3,4
6432,Athlético-pr,Atlético-mg,2,0,11218,0,-4,13244,3,1
6433,Sport,Botafogo-rj,2,0,7928,0,-1,10932,0,-1
6434,Chapecoense,América-mg,2,1,6336,1,0,5202,0,-1
6435,Grêmio,Flamengo,2,1,14210,1,0,13288,3,1
6436,São paulo,Internacional,2,-1,13374,3,1,13000,1,0
6437,Santos,Coritiba,2,1,13936,0,-1,10686,3,1
6438,Vitória,Corinthians,2,1,7166,0,-3,14664,1,0
6439,Flamengo,Chapecoense,3,0,13288,3,0,6336,4,2
6440,Figueirense,Santos,3,0,9012,2,0,13936,3,0
6441,Coritiba,São paulo,3,0,10686,3,0,13374,3,0
6442,América-mg,Vitória,3,0,5202,0,-3,7166,3,-2
6443,Botafogo-rj,Athlético-pr,3,1,10932,1,-1,11218,1,-4
6444,Palmeiras,Fluminense,3,1,13056,3,3,12682,4,1
6445,Santa cruz,Cruzeiro,3,1,4310,4,3,14064,1,-1
6446,Corinthians,Ponte preta,3,1,14664,1,-1,8080,4,1
6447,Atlético-mg,Grêmio,3,-1,13244,4,1,14210,4,1
6448,Internacional,Sport,3,1,13000,4,1,7928,1,-1
6449,Cruzeiro,América-mg,4,0,14064,1,-4,5202,1,-3
6450,Chapecoense,Santa cruz,4,0,6336,5,2,4310,7,6
6451,Athlético-pr,Figueirense,4,1,11218,1,-5,9012,3,0
6452,Vitória,Atlético-mg,4,0,7166,4,-2,13244,4,-2
6453,Sport,Corinthians,4,-1,7928,1,-2,14664,4,2
6454,Ponte preta,Flamengo,4,-1,8080,4,-2,13288,4,0
