,Mandante,Visitante,Rodada,Classe,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante
7559,Atlético-mg,Avaí,1,1,13352,0,0,6394,0,0
7560,Chapecoense,Internacional,1,1,10706,0,0,10902,0,0
7561,Flamengo,Cruzeiro,1,1,13850,0,0,15822,0,0
7562,São paulo,Botafogo-rj,1,1,10508,0,0,10619,0,0
7563,Athlético-pr,Vasco,1,1,11380,0,0,9360,0,0
7564,Bahia,Corinthians,1,1,8862,0,0,14208,0,0
7565,Ceará,Csa,1,1,6274,0,0,2850,0,0
7566,Fluminense,Goiás,1,-1,10034,0,0,6168,0,0
7567,Palmeiras,Fortaleza,1,1,16914,0,0,4222,0,0
7568,Grêmio,Santos,1,-1,14936,0,0,14682,0,0
7569,Avaí,Grêmio,2,0,6394,0,-1,14936,0,-1
7570,Csa,Palmeiras,2,0,2850,0,-4,16914,3,4
7571,Vasco,Atlético-mg,2,-1,9360,0,-3,13352,3,1
7572,Corinthians,Chapecoense,2,1,14208,0,-1,10706,3,2
7573,Cruzeiro,Ceará,2,1,15822,0,-2,6274,3,4
7574,Fortaleza,Athlético-pr,2,1,4222,0,-4,11380,3,3
7575,Internacional,Flamengo,2,1,10902,0,-2,13850,3,2
7576,Goiás,São paulo,2,-1,6168,3,1,10508,3,2
7577,Botafogo-rj,Bahia,2,1,10619,0,-2,8862,3,1
7578,Santos,Fluminense,2,1,14682,3,1,10034,0,-1
7579,Vasco,Corinthians,3,0,9360,0,-4,14208,3,0
7580,Ceará,Atlético-mg,3,-1,6274,3,3,13352,6,2
7581,Palmeiras,Internacional,3,1,16914,4,4,10902,3,-1
7582,Chapecoense,Athlético-pr,3,0,10706,3,1,11380,3,2
7583,São paulo,Flamengo,3,0,10508,6,3,13850,3,1
7584,Csa,Santos,3,0,2850,1,-4,14682,6,2
7585,Bahia,Avaí,3,1,8862,3,0,6394,1,-1
7586,Botafogo-rj,Fortaleza,3,1,10619,3,-1,4222,3,-3
7587,Cruzeiro,Goiás,3,1,15822,3,-1,6168,3,0
