,Mandante,Visitante,Rodada,Classe,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante
5566,São paulo,Náutico,29,1,14786,34,-3,8036,17,-33
5567,Vasco,Goiás,29,-1,15030,32,-7,9896,40,-1
5568,Vitória,Botafogo-rj,29,1,9900,40,-1,10622,49,10
5569,Fluminense,Ponte preta,30,0,16208,35,-4,7600,29,-12
5570,Corinthians,Criciúma,30,1,15624,37,4,4370,32,-12
5571,Náutico,Santos,30,-1,8036,17,-36,13736,40,4
5572,Internacional,Grêmio,30,0,14360,41,3,14460,52,11
5573,Botafogo-rj,Vasco,30,0,10622,49,9,15030,32,-9
5574,Portuguesa,Vitória,30,0,7840,37,2,9900,43,0
5575,Atlético-mg,Flamengo,30,1,11520,42,4,14352,40,1
5576,Coritiba,Cruzeiro,30,1,12804,34,-7,13096,62,35
5577,Goiás,Athlético-pr,30,1,9896,43,1,11078,51,12
5578,Bahia,São paulo,30,-1,9282,36,-6,14786,37,0
5579,Botafogo-rj,Atlético-mg,31,1,10622,50,9,11520,45,5
5580,Cruzeiro,Criciúma,31,1,13096,62,34,4370,32,-13
5581,Bahia,Athlético-pr,31,0,9282,36,-7,11078,51,9
5582,Portuguesa,Flamengo,31,0,7840,38,2,14352,40,0
5583,Corinthians,Santos,31,0,15624,40,5,13736,43,8
5584,Coritiba,Grêmio,31,1,12804,37,-6,14460,53,11
5585,Náutico,Goiás,31,-1,8036,17,-40,9896,46,4
5586,Ponte preta,Vasco,31,1,7600,30,-12,15030,33,-9
5587,Internacional,São paulo,31,-1,14360,42,3,14786,40,1
5588,Fluminense,Vitória,31,-1,16208,36,-4,9900,44,0
5589,Atlético-mg,Náutico,32,1,11520,45,4,8036,17,-42
5590,São paulo,Portuguesa,32,1,14786,43,2,7840,39,2
5591,Vasco,Coritiba,32,1,15030,33,-10,12804,40,-2
5592,Grêmio,Bahia,32,0,14460,53,7,9282,37,-7
5593,Vitória,Corinthians,32,0,9900,47,1,15624,41,5
5594,Criciúma,Ponte preta,32,0,4370,32,-15,7600,33,-11
5595,Athlético-pr,Internacional,32,1,11078,52,9,14360,42,2
5596,Santos,Cruzeiro,32,-1,13736,44,8,13096,65,36
5597,Flamengo,Fluminense,32,1,14352,41,0,16208,36,-5
5598,Goiás,Botafogo-rj,32,1,9896,49,6,10622,53,10
5599,Bahia,Atlético-mg,33,0,9282,38,-7,11520,48,9
5600,Portuguesa,Coritiba,33,0,7840,39,1,12804,40,-3
5601,Flamengo,Goiás,33,0,14352,44,1,9896,52,7
5602,Vasco,Santos,33,0,15030,36,-9,13736,44,7
5603,Athlético-pr,São paulo,33,1,11078,55,10,14786,46,3
5604,Corinthians,Fluminense,33,1,15624,42,5,16208,36,-6
5605,Náutico,Criciúma,33,-1,8036,17,-47,4370,33,-15
5606,Cruzeiro,Grêmio,33,1,13096,68,37,14460,54,7
5607,Internacional,Botafogo-rj,33,1,14360,42,1,10622,53,9
5608,Ponte preta,Vitória,33,-1,7600,34,-11,9900,48,1
5609,Botafogo-rj,Portuguesa,34,0,10622,53,8,7840,40,1
5610,Coritiba,Corinthians,34,-1,12804,41,-3,15624,45,6
5611,Criciúma,Athlético-pr,34,1,4370,36,-14,11078,58,13
5612,Vitória,Cruzeiro,34,-1,9900,51,4,13096,71,40
5613,Goiás,Ponte preta,34,1,9896,53,7,7600,34,-14
5614,Grêmio,Vasco,34,1,14460,54,4,15030,37,-9
5615,São paulo,Flamengo,34,1,14786,46,0,14352,45,1
5616,Atlético-mg,Internacional,34,1,11520,49,9,14360,45,2
5617,Fluminense,Náutico,34,1,16208,36,-7,8036,17,-48
5618,Santos,Bahia,34,1,13736,45,7,9282,39,-7
5619,Botafogo-rj,Athlético-pr,35,1,10622,54,8,11078,58,12
5620,Coritiba,Criciúma,35,-1,12804,41,-4,4370,39,-13
5621,Cruzeiro,Ponte preta,35,0,13096,74,42,7600,34,-16
5622,Corinthians,Vasco,35,0,15624,48,7,15030,37,-10
5623,Náutico,Bahia,35,-1,8036,17,-50,9282,39,-10
5624,Fluminense,São paulo,35,1,16208,39,-5,14786,49,2
5625,Goiás,Internacional,35,1,9896,56,9,14360,45,1
5626,Grêmio,Flamengo,35,1,14460,57,5,14352,45,-1
5627,Portuguesa,Atlético-mg,35,1,7840,41,1,11520,52,10
5628,Vitória,Santos,35,1,9900,51,2,13736,48,10
5629,Criciúma,Vitória,36,0,4370,42,-12,9900,54,4
5630,Atlético-mg,Goiás,36,1,11520,52,8,9896,59,11
5631,Vasco,Cruzeiro,36,1,15030,38,-10,13096,75,42
5632,São paulo,Botafogo-rj,36,0,14786,49,1,10622,57,12
5633,Internacional,Coritiba,36,0,14360,45,-1,12804,41,-5
5634,Ponte preta,Grêmio,36,0,7600,35,-16,14460,60,6
5635,Athlético-pr,Náutico,36,1,11078,58,8,8036,17,-51
5636,Bahia,Portuguesa,36,1,9282,42,-9,7840,44,3
5637,Flamengo,Corinthians,36,1,14352,45,-2,15624,49,7
5638,Santos,Fluminense,36,1,13736,48,8,16208,42,-4
5639,Fluminense,Atlético-mg,37,0,16208,42,-5,11520,55,11
5640,Corinthians,Internacional,37,0,15624,49,6,14360,46,-1
5641,Cruzeiro,Bahia,37,-1,13096,75,41,9282,45,-8
5642,Coritiba,Botafogo-rj,37,1,12804,42,-5,10622,58,12
5643,Criciúma,São paulo,37,1,4370,43,-12,14786,50,1
5644,Grêmio,Goiás,37,1,14460,61,6,9896,59,8
5645,Ponte preta,Portuguesa,37,-1,7600,36,-16,7840,44,2
5646,Santos,Athlético-pr,37,1,13736,51,9,11078,61,13
5647,Vasco,Náutico,37,1,15030,41,-9,8036,17,-56
5648,Vitória,Flamengo,37,1,9900,55,4,14352,48,-1
5649,Flamengo,Cruzeiro,38,0,14352,48,-3,13096,75,40
5650,Náutico,Corinthians,38,1,8036,17,-58,15624,50,6
5651,Portuguesa,Grêmio,38,0,7840,47,4,14460,64,7
5652,Internacional,Ponte preta,38,0,14360,47,-1,7600,36,-18
5653,Atlético-mg,Vitória,38,0,11520,56,11,9900,58,6
5654,Athlético-pr,Vasco,38,1,11078,61,12,15030,44,-7
5655,Botafogo-rj,Criciúma,38,1,10622,58,11,4370,46,-11
5656,São paulo,Coritiba,38,-1,14786,50,0,12804,45,-4
5657,Bahia,Fluminense,38,-1,9282,48,-7,16208,43,-5
5658,Goiás,Santos,38,-1,9896,59,7,13736,54,10
