Mandante,Visitante,Rodada,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante,Classe
Flamengo,Atlético-mg,1,11952,0,0,14312,0,0,0
Corinthians,Chapecoense,1,14328,0,0,7596,0,0,0
Avaí,Vitória,1,5894,0,0,7547,0,0,0
Bahia,Athlético-pr,1,6698,0,0,11012,0,0,1
Cruzeiro,São paulo,1,14202,0,0,12430,0,0,1
Fluminense,Santos,1,11668,0,0,14574,0,0,1
Grêmio,Botafogo-rj,1,15038,0,0,10936,0,0,1
Palmeiras,Vasco,1,14720,0,0,10040,0,0,1
Ponte preta,Sport,1,9076,0,0,8019,0,0,1
Coritiba,Atlético-go,1,9414,0,0,5443,0,0,1
Chapecoense,Palmeiras,2,7596,1,0,14720,3,4,1
Atlético-go,Flamengo,2,5443,0,-3,11952,1,0,-1
Santos,Coritiba,2,14574,0,-1,9414,3,3,1
Sport,Cruzeiro,2,8019,0,-4,14202,3,1,0
Botafogo-rj,Ponte preta,2,10936,0,-2,9076,3,4,1
Vitória,Corinthians,2,7547,1,0,14328,1,0,-1
Atlético-mg,Fluminense,2,14312,1,0,11668,3,1,-1
Athlético-pr,Grêmio,2,11012,0,-4,15038,3,2,-1
Vasco,Bahia,2,10040,0,-4,6698,3,4,1
São paulo,Avaí,2,12430,0,-1,5894,1,0,1
Vitória,Coritiba,3,7547,1,-1,9414,3,2,-1
São paulo,Palmeiras,3,12430,3,1,14720,3,3,1
Vasco,Fluminense,3,10040,3,-3,11668,6,2,1
Athlético-pr,Flamengo,3,11012,0,-6,11952,4,3,0
Atlético-mg,Ponte preta,3,14312,1,-1,9076,3,2,0
Botafogo-rj,Bahia,3,10936,3,0,6698,3,3,1
Atlético-go,Corinthians,3,5443,0,-6,14328,4,1,-1
Santos,Cruzeiro,3,14574,3,0,14202,4,1,-1
Sport,Grêmio,3,8019,1,-4,15038,6,4,1
Chapecoense,Avaí,3,7596,4,1,5894,1,-2,1
Corinthians,Santos,4,14328,7,2,14574,3,-1,1
Coritiba,Athlético-pr,4,9414,6,3,11012,1,-6,1
Fluminense,Vitória,4,11668,6,1,7547,1,-2,1
Palmeiras,Atlético-mg,4,14720,3,1,14312,2,-1,0
Flamengo,Botafogo-rj,4,11952,5,3,10936,6,1,0
Avaí,Sport,4,5894,1,-4,8019,4,-3,1
Cruzeiro,Chapecoense,4,14202,7,2,7596,7,3,-1
Grêmio,Vasco,4,15038,6,3,10040,6,-2,1
Ponte preta,São paulo,4,9076,4,2,12430,6,3,1
Bahia,Atlético-go,4,6698,3,2,5443,0,-7,1
Fluminense,Athlético-pr,5,11668,9,2,11012,1,-7,0
Atlético-mg,Avaí,5,14312,3,-1,5894,4,-3,1
Vasco,Corinthians,5,10040,6,-4,14328,10,4,-1
Coritiba,Palmeiras,5,9414,9,4,14720,4,1,1
Santos,Botafogo-rj,5,14574,3,-3,10936,7,1,1
Sport,Flamengo,5,8019,4,-4,11952,6,3,1
Atlético-go,Ponte preta,5,5443,0,-10,9076,7,3,1
Bahia,Cruzeiro,5,6698,6,5,14202,7,0,1
Chapecoense,Grêmio,5,7596,10,5,15038,9,5,-1
São paulo,Vitória,5,12430,6,2,7547,1,-3,1
Palmeiras,Fluminense,6,14720,4,0,11668,10,2,1
Vasco,Sport,6,10040,6,-7,8019,7,-2,1
Botafogo-rj,Coritiba,6,10936,7,0,9414,12,5,0
Avaí,Flamengo,6,5894,4,-4,11952,6,1,0
Corinthians,São paulo,6,14328,13,7,12430,9,4,1
Cruzeiro,Atlético-go,6,14202,7,-1,5443,3,-7,1
Ponte preta,Chapecoense,6,9076,7,0,7596,10,2,1
Athlético-pr,Santos,6,11012,2,-7,14574,6,-2,-1
Vitória,Atlético-mg,6,7547,1,-5,14312,6,0,1
Grêmio,Bahia,6,15038,12,8,6698,9,6,1
Vitória,Botafogo-rj,7,7547,4,-3,10936,8,0,0
Sport,São paulo,7,8019,7,-3,12430,9,3,0
Atlético-go,Avaí,7,5443,3,-9,5894,5,-4,1
Atlético-mg,Athlético-pr,7,14312,6,-2,11012,2,-9,-1
Chapecoense,Vasco,7,7596,10,1,10040,9,-6,1
Corinthians,Cruzeiro,7,14328,16,8,14202,10,1,1
Flamengo,Ponte preta,7,11952,7,1,9076,10,1,1
Santos,Palmeiras,7,14574,9,0,14720,7,2,1
Coritiba,Bahia,7,9414,13,5,6698,9,5,0
Fluminense,Grêmio,7,11668,10,0,15038,15,9,-1
Santos,Ponte preta,8,14574,12,1,9076,10,-1,0
Atlético-go,Athlético-pr,8,5443,6,-7,11012,5,-8,-1
Vasco,Avaí,8,10040,9,-7,5894,5,-6,1
Coritiba,Corinthians,8,9414,14,5,14328,19,9,0
Fluminense,Flamengo,8,11668,10,-2,11952,10,3,0
São paulo,Atlético-mg,8,12430,10,3,14312,6,-3,-1
Chapecoense,Botafogo-rj,8,7596,13,2,10936,9,0,-1
Bahia,Palmeiras,8,6698,10,5,14720,7,1,-1
Sport,Vitória,8,8019,8,-3,7547,5,-3,-1
Cruzeiro,Grêmio,8,14202,10,0,15038,18,11,0
Atlético-mg,Sport,9,14312,9,-2,8019,8,-5,0
Athlético-pr,São paulo,9,11012,8,-7,12430,10,2,1
Botafogo-rj,Vasco,9,10936,12,2,10040,12,-6,1
Avaí,Fluminense,9,5894,5,-7,11668,11,-2,-1
Palmeiras,Atlético-go,9,14720,10,3,5443,6,-8,1
Vitória,Santos,9,7547,8,-1,14574,13,1,-1
Corinthians,Bahia,9,14328,20,9,6698,10,3,1
Flamengo,Chapecoense,9,11952,11,3,7596,13,0,1
Grêmio,Coritiba,9,15038,19,11,9414,15,5,1
