Mandante,Visitante,Rodada,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante,Classe
Vitória,Flamengo,1,7690,0,0,12796,0,0,0
Cruzeiro,Grêmio,1,15288,0,0,15092,0,0,-1
Santos,Ceará,1,14884,0,0,5553,0,0,1
América-mg,Sport,1,6255,0,0,8770,0,0,1
Athlético-pr,Chapecoense,1,11718,0,0,9010,0,0,1
Corinthians,Fluminense,1,14076,0,0,10926,0,0,1
Internacional,Bahia,1,11368,0,0,6647,0,0,1
Vasco,Atlético-mg,1,9322,0,0,14312,0,0,1
Botafogo-rj,Palmeiras,1,11958,0,0,15288,0,0,0
São paulo,Paraná,1,11098,0,0,5244,0,0,1
Bahia,Santos,2,6647,0,-2,14884,3,2,1
Flamengo,América-mg,2,12796,1,0,6255,3,3,1
Grêmio,Athlético-pr,2,15092,3,1,11718,3,4,0
Ceará,São paulo,2,5553,0,-2,11098,3,1,0
Chapecoense,Vasco,2,9010,0,-4,9322,3,1,0
Atlético-mg,Vitória,2,14312,0,-1,7690,1,0,1
Paraná,Corinthians,2,5244,0,-1,14076,3,1,-1
Fluminense,Cruzeiro,2,10926,0,-1,15288,0,-1,1
Palmeiras,Internacional,2,15288,1,0,11368,3,2,1
Sport,Botafogo-rj,2,8770,0,-3,11958,1,0,0
Botafogo-rj,Grêmio,3,11958,2,0,15092,4,1,1
Bahia,Athlético-pr,3,6647,3,-1,11718,4,4,0
Palmeiras,Chapecoense,3,15288,4,1,9010,1,-4,0
Internacional,Cruzeiro,3,11368,3,1,15288,0,-2,0
Fluminense,São paulo,3,10926,3,0,11098,4,1,0
Atlético-mg,Corinthians,3,14312,3,0,14076,6,5,1
Ceará,Flamengo,3,5553,1,-2,12796,4,2,-1
Paraná,Sport,3,5244,0,-5,8770,1,-3,-1
América-mg,Vitória,3,6255,3,1,7690,1,-1,1
São paulo,Atlético-mg,4,11098,5,1,14312,6,1,0
Vasco,América-mg,4,9322,5,1,6255,6,2,1
Corinthians,Ceará,4,14076,6,4,5553,1,-5,0
Cruzeiro,Botafogo-rj,4,15288,1,-2,11958,5,1,1
Flamengo,Internacional,4,12796,7,5,11368,4,1,1
Vitória,Fluminense,4,7690,1,-2,10926,4,0,-1
Grêmio,Santos,4,15092,4,0,14884,4,1,1
Athlético-pr,Palmeiras,4,11718,5,4,15288,5,1,-1
Sport,Bahia,4,8770,4,-2,6647,4,-1,1
Chapecoense,Paraná,4,9010,2,-4,5244,0,-6,0
Grêmio,Internacional,5,15092,7,4,11368,4,-1,0
Bahia,São paulo,5,6647,4,-3,11098,6,1,0
Athlético-pr,Atlético-mg,5,11718,5,2,14312,7,1,-1
Chapecoense,Flamengo,5,9010,3,-4,12796,10,7,1
Corinthians,Palmeiras,5,14076,7,4,15288,8,3,1
Cruzeiro,Sport,5,15288,4,-1,8770,7,0,1
Santos,Paraná,5,14884,4,-3,5244,1,-6,1
Vasco,Vitória,5,9322,8,4,7690,1,-3,-1
Ceará,América-mg,5,5553,2,-5,6255,6,-1,0
Botafogo-rj,Fluminense,5,11958,5,0,10926,7,1,1
Flamengo,Vasco,6,12796,10,6,9322,8,3,0
Atlético-mg,Cruzeiro,6,14312,10,2,15288,7,1,1
Palmeiras,Bahia,6,15288,8,2,6647,5,-3,1
Sport,Corinthians,6,8770,7,-2,14076,10,5,0
Paraná,Grêmio,6,5244,1,-8,15092,8,4,0
América-mg,Botafogo-rj,6,6255,7,-1,11958,8,1,1
Fluminense,Athlético-pr,6,10926,7,0,11718,5,1,1
São paulo,Santos,6,11098,7,1,14884,7,-1,1
Vitória,Ceará,6,7690,4,-2,5553,3,-5,1
Internacional,Chapecoense,6,11368,5,-1,9010,6,-3,1
Atlético-mg,Flamengo,7,14312,13,3,12796,11,6,-1
Fluminense,Chapecoense,7,10926,10,2,9010,6,-6,1
Palmeiras,Sport,7,15288,11,5,8770,8,-2,-1
Paraná,Athlético-pr,7,5244,2,-8,11718,5,-1,0
Botafogo-rj,Vitória,7,11958,8,0,7690,7,-1,0
Bahia,Vasco,7,6647,5,-6,9322,9,3,1
Santos,Cruzeiro,7,14884,7,-2,15288,7,0,-1
Ceará,Grêmio,7,5553,3,-6,15092,9,4,-1
Internacional,Corinthians,7,11368,8,2,14076,11,5,1
América-mg,São paulo,7,6255,10,0,11098,10,2,-1
Grêmio,Fluminense,8,15092,12,5,10926,13,4,0
Chapecoense,Ceará,8,9010,6,-8,5553,3,-7,1
Cruzeiro,Palmeiras,8,15288,10,1,15288,11,4,1
Vitória,Internacional,8,7690,8,-1,11368,11,3,-1
