Mandante,Visitante,Rodada,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante,Classe
Santos,Corinthians,8,13530,7,-1,14680,13,0,1
Sport,Vasco,8,6970,15,6,12132,3,-10,1
São paulo,Avaí,8,12738,16,7,6364,11,-1,0
Athlético-pr,Coritiba,8,12524,15,5,11036,3,-6,0
Cruzeiro,Chapecoense,8,15328,10,2,5150,9,-1,-1
Joinville,Goiás,8,4699,1,-9,10525,9,1,1
Fluminense,Ponte preta,8,12708,11,0,7440,13,6,1
Chapecoense,Sport,9,5150,12,0,6970,18,7,0
Corinthians,Figueirense,9,14680,13,-1,6898,9,-3,1
Avaí,Grêmio,9,6364,12,-1,13992,14,1,-1
Atlético-mg,Joinville,9,13224,14,8,4699,4,-8,1
Coritiba,Cruzeiro,9,11036,4,-6,15328,10,1,1
Goiás,Fluminense,9,10525,9,0,12708,14,2,-1
Internacional,Santos,9,12628,10,-1,13530,10,0,1
Palmeiras,São paulo,9,11584,9,0,12738,17,7,1
Ponte preta,Athlético-pr,9,7440,13,4,12524,16,5,1
Vasco,Flamengo,9,12132,3,-11,14578,7,-4,1
Atlético-mg,Coritiba,10,13224,17,9,11036,7,-5,1
Athlético-pr,São paulo,10,12524,16,4,12738,17,3,1
Joinville,Flamengo,10,4699,4,-9,14578,7,-5,-1
Grêmio,Cruzeiro,10,13992,17,2,15328,10,0,1
Palmeiras,Chapecoense,10,11584,12,4,5150,13,0,1
Sport,Internacional,10,6970,19,7,12628,13,0,1
Vasco,Avaí,10,12132,6,-10,6364,12,-2,1
Corinthians,Ponte preta,10,14680,16,0,7440,16,5,1
Figueirense,Goiás,10,6898,9,-4,10525,9,-1,1
Fluminense,Santos,10,12708,17,3,13530,10,-1,1
Coritiba,Joinville,11,11036,7,-7,4699,4,-10,0
Chapecoense,Vasco,11,5150,13,-2,12132,9,-9,1
Cruzeiro,Athlético-pr,11,15328,10,-1,12524,19,5,1
Goiás,Corinthians,11,10525,9,-3,14680,19,2,0
São paulo,Fluminense,11,12738,17,2,12708,20,4,0
Avaí,Sport,11,6364,12,-3,6970,22,10,0
Internacional,Atlético-mg,11,12628,13,-3,13224,20,11,-1
Flamengo,Figueirense,11,14578,10,-4,6898,12,-2,-1
Santos,Grêmio,11,13530,10,-2,13992,20,3,-1
Ponte preta,Palmeiras,11,7440,16,3,11584,15,6,-1
Coritiba,Ponte preta,12,11036,8,-7,7440,16,1,0
Atlético-mg,Sport,12,13224,23,13,6970,23,10,1
Chapecoense,Grêmio,12,5150,16,-1,13992,23,5,1
Internacional,Flamengo,12,12628,13,-5,14578,10,-5,-1
Goiás,Santos,12,10525,10,-3,13530,10,-4,1
Figueirense,Joinville,12,6898,15,-1,4699,5,-10,-1
Palmeiras,Avaí,12,11584,18,8,6364,13,-3,1
Vasco,São paulo,12,12132,9,-10,12738,18,2,-1
Corinthians,Athlético-pr,12,14680,20,2,12524,19,3,1
Fluminense,Cruzeiro,12,12708,21,4,15328,13,1,1
Ponte preta,Atlético-mg,13,7440,17,1,13224,26,14,-1
Grêmio,Vasco,13,13992,23,4,12132,9,-14,1
Santos,Figueirense,13,13530,10,-7,6898,15,-3,1
Sport,Palmeiras,13,6970,23,9,11584,21,11,0
Avaí,Chapecoense,13,6364,13,-6,5150,19,0,1
Flamengo,Corinthians,13,14578,13,-4,14680,23,4,-1
Cruzeiro,Goiás,13,15328,13,0,10525,13,0,1
Athlético-pr,Fluminense,13,12524,19,1,12708,24,5,-1
Joinville,Internacional,13,4699,8,-8,12628,13,-6,-1
São paulo,Coritiba,13,12738,21,6,11036,9,-7,1
Corinthians,Atlético-mg,14,14680,26,7,13224,29,16,1
Flamengo,Grêmio,14,14578,13,-7,13992,26,6,1
Internacional,Goiás,14,12628,16,-4,10525,13,-1,1
Cruzeiro,Avaí,14,15328,16,1,6364,16,-5,0
Figueirense,Coritiba,14,6898,15,-6,11036,9,-9,0
Joinville,Ponte preta,14,4699,8,-10,7440,17,-1,0
Athlético-pr,Chapecoense,14,12524,19,0,5150,19,-1,1
Palmeiras,Santos,14,11584,22,11,13530,13,-4,1
Sport,São paulo,14,6970,24,9,12738,24,8,1
Fluminense,Vasco,14,12708,27,6,12132,9,-16,-1
Grêmio,Sport,15,13992,26,5,6970,27,11,0
Atlético-mg,Figueirense,15,13224,29,15,6898,16,-6,1
Avaí,Athlético-pr,15,6364,17,-5,12524,22,1,-1
Coritiba,Corinthians,15,11036,10,-9,14680,29,8,0
Ponte preta,Internacional,15,7440,18,-1,12628,19,-3,0
Chapecoense,Fluminense,15,5150,19,-2,12708,27,5,1
Goiás,Flamengo,15,10525,13,-2,14578,16,-6,-1
Vasco,Palmeiras,15,12132,12,-15,11584,25,12,-1
Santos,Joinville,15,13530,13,-5,4699,9,-10,1
São paulo,Cruzeiro,15,12738,24,6,15328,17,1,1
Atlético-mg,São paulo,16,13224,32,16,12738,27,7,1
Corinthians,Vasco,16,14680,30,8,12132,12,-18,1
Fluminense,Grêmio,16,12708,27,4,13992,27,5,1
Internacional,Chapecoense,16,12628,20,-3,5150,22,-1,0
Sport,Cruzeiro,16,6970,28,11,15328,17,0,0
Coritiba,Goiás,16,11036,11,-9,10525,13,-3,0
Flamengo,Santos,16,14578,19,-5,13530,16,-3,0
Palmeiras,Athlético-pr,16,11584,28,15,12524,25,2,-1
Figueirense,Ponte preta,16,6898,16,-7,7440,19,-1,1
Joinville,Avaí,16,4699,9,-12,6364,17,-6,1
Avaí,Fluminense,17,6364,17,-8,12708,30,5,1
Santos,Coritiba,17,13530,17,-3,11036,12,-9,1
Goiás,Atlético-mg,17,10525,14,-3,13224,35,18,0
São paulo,Corinthians,17,12738,27,5,14680,33,11,0
Chapecoense,Figueirense,17,5150,23,-1,6898,19,-5,0
Vasco,Joinville,17,12132,12,-21,4699,12,-10,0
Athlético-pr,Sport,17,12524,28,3,6970,29,11,0
Cruzeiro,Palmeiras,17,15328,18,0,11584,28,14,1
Grêmio,Internacional,17,13992,27,4,12628,21,-3,1
Ponte preta,Flamengo,17,7440,19,-3,14578,20,-5,1
Goiás,Chapecoense,18,10525,15,-3,5150,24,-1,0
Corinthians,Sport,18,14680,34,11,6970,30,11,1
Coritiba,Palmeiras,18,11036,12,-12,11584,28,13,1
Flamengo,Athlético-pr,18,14578,20,-6,12524,29,3,1
Internacional,Fluminense,18,12628,21,-8,12708,30,4,1
Santos,Vasco,18,13530,20,0,12132,13,-21,1
Figueirense,São paulo,18,6898,20,-5,12738,28,5,-1
Atlético-mg,Grêmio,18,13224,36,18,13992,30,9,-1
Joinville,Cruzeiro,18,4699,13,-10,15328,21,1,1
Ponte preta,Avaí,18,7440,22,-2,6364,20,-7,1
Athlético-pr,Santos,19,12524,29,2,13530,23,1,0
Vasco,Coritiba,19,12132,13,-22,11036,15,-11,-1
São paulo,Goiás,19,12738,31,7,10525,16,-3,-1
Cruzeiro,Internacional,19,15328,21,-2,12628,24,-7,0
Sport,Ponte preta,19,6970,30,10,7440,25,0,0
Chapecoense,Atlético-mg,19,5150,25,-1,13224,36,16,1
Avaí,Corinthians,19,6364,20,-9,14680,37,12,-1
Fluminense,Figueirense,19,12708,30,3,6898,20,-7,1
Grêmio,Joinville,19,13992,33,11,4699,16,-7,1
Palmeiras,Flamengo,19,11584,28,12,14578,23,-5,1
Figueirense,Sport,20,6898,20,-8,6970,31,10,1
Goiás,Vasco,20,10525,19,0,12132,13,-23,1
Santos,Avaí,20,13530,24,1,6364,20,-10,1
Ponte preta,Grêmio,20,7440,26,0,13992,36,12,0
Atlético-mg,Palmeiras,20,13224,36,15,11584,31,14,1
Corinthians,Cruzeiro,20,14680,40,13,15328,22,-2,1
Coritiba,Chapecoense,20,11036,18,-10,5150,28,0,1
Flamengo,São paulo,20,14578,23,-7,12738,31,4,1
Internacional,Athlético-pr,20,12628,25,-7,12524,30,2,1
Joinville,Fluminense,20,4699,16,-8,12708,33,4,1
Vasco,Figueirense,21,12132,13,-26,6898,23,-7,-1
São paulo,Ponte preta,21,12738,31,3,7440,27,0,1
Grêmio,Coritiba,21,13992,37,12,11036,21,-9,0
Fluminense,Atlético-mg,21,12708,33,3,13224,39,16,-1
Athlético-pr,Goiás,21,12524,30,0,10525,22,3,1
Avaí,Internacional,21,6364,20,-13,12628,28,-5,1
Chapecoense,Corinthians,21,5150,28,-1,14680,43,16,-1
Sport,Flamengo,21,6970,31,9,14578,26,-6,-1
Palmeiras,Joinville,21,11584,31,13,4699,19,-7,1
Cruzeiro,Santos,21,15328,22,-5,13530,27,4,-1
Joinville,São paulo,22,4699,19,-8,12738,34,6,0
Coritiba,Sport,22,11036,22,-9,6970,31,8,0
Atlético-mg,Athlético-pr,22,13224,42,17,12524,33,3,-1
Corinthians,Fluminense,22,14680,46,18,12708,33,2,1
Ponte preta,Cruzeiro,22,7440,27,-3,15328,22,-6,-1
Flamengo,Avaí,22,14578,29,-5,6364,23,-10,1
Goiás,Palmeiras,22,10525,22,0,11584,34,14,1
Internacional,Vasco,22,12628,28,-8,12132,13,-27,1
Figueirense,Grêmio,22,6898,26,-6,13992,38,12,-1
Santos,Chapecoense,22,13530,30,5,5150,28,-3,1
Athlético-pr,Joinville,23,12524,36,4,4699,20,-8,0
Vasco,Atlético-mg,23,12132,13,-33,13224,42,16,-1
São paulo,Internacional,23,12738,35,6,12628,31,-2,1
Palmeiras,Corinthians,23,11584,34,13,14680,49,20,0
Chapecoense,Ponte preta,23,5150,28,-5,7440,27,-4,0
Sport,Santos,23,6970,32,8,13530,33,7,0
Avaí,Coritiba,23,6364,23,-13,11036,23,-9,-1
Cruzeiro,Figueirense,23,15328,25,-5,6898,26,-8,1
Fluminense,Flamengo,23,12708,33,0,14578,32,-2,-1
Grêmio,Goiás,23,13992,41,14,10525,25,1,1
Figueirense,Athlético-pr,24,6898,26,-12,12524,37,4,0
Coritiba,Fluminense,24,11036,26,-7,12708,33,-2,0
Corinthians,Grêmio,24,14680,50,20,13992,44,15,0
Atlético-mg,Avaí,24,13224,45,17,6364,23,-15,1
Internacional,Palmeiras,24,12628,31,-4,11584,35,13,1
Santos,São paulo,24,13530,34,7,12738,38,8,1
Ponte preta,Vasco,24,7440,28,-4,12132,13,-34,-1
Joinville,Chapecoense,24,4699,21,-8,5150,29,-5,0
Flamengo,Cruzeiro,24,14578,35,0,15328,28,-1,1
Goiás,Sport,24,10525,25,0,6970,33,8,1
Coritiba,Internacional,25,11036,27,-7,12628,34,-3,-1
Palmeiras,Figueirense,25,11584,35,12,6898,27,-12,1
Cruzeiro,Atlético-mg,25,15328,28,-3,13224,48,19,0
Avaí,Goiás,25,6364,23,-17,10525,28,1,1
Corinthians,Joinville,25,14680,51,20,4699,22,-8,1
Chapecoense,Flamengo,25,5150,30,-5,14578,38,2,-1
Ponte preta,Santos,25,7440,28,-5,13530,37,10,1
Grêmio,São paulo,25,13992,45,15,12738,38,5,-1
Sport,Fluminense,25,6970,33,7,12708,34,-2,1
Vasco,Athlético-pr,25,12132,16,-33,12524,38,4,1
Joinville,Sport,26,4699,22,-11,6970,36,8,0
Cruzeiro,Vasco,26,15328,29,-3,12132,19,-31,0
Figueirense,Avaí,26,6898,27,-14,6364,26,-16,-1
Athlético-pr,Grêmio,26,12524,38,2,13992,45,14,-1
Internacional,Corinthians,26,12628,37,-2,14680,54,23,1
Fluminense,Palmeiras,26,12708,34,-3,11584,38,14,-1
Goiás,Ponte preta,26,10525,28,0,7440,31,-3,-1
Santos,Atlético-mg,26,13530,37,8,13224,49,19,1
São paulo,Chapecoense,26,12738,41,6,5150,30,-7,0
Flamengo,Coritiba,26,14578,41,4,11036,27,-8,-1
Internacional,Figueirense,27,12628,40,-1,6898,27,-15,0
Palmeiras,Grêmio,27,11584,41,17,13992,48,15,1
Ponte preta,Fluminense,27,7440,34,-2,12708,34,-6,1
Atlético-mg,Flamengo,27,13224,49,15,14578,41,2,1
Avaí,São paulo,27,6364,29,-15,12738,42,6,1
Corinthians,Santos,27,14680,54,22,13530,40,12,1
Coritiba,Athlético-pr,27,11036,30,-6,12524,38,1,1
Chapecoense,Cruzeiro,27,5150,31,-7,15328,30,-3,-1
Goiás,Joinville,27,10525,28,-1,4699,23,-11,1
Vasco,Sport,27,12132,20,-31,6970,37,8,1
Fluminense,Goiás,28,12708,34,-8,10525,31,2,1
Grêmio,Avaí,28,13992,48,14,6364,32,-14,1
Joinville,Atlético-mg,28,4699,23,-14,13224,52,18,0
São paulo,Palmeiras,28,12738,42,5,11584,44,18,0
Figueirense,Corinthians,28,6898,28,-15,14680,57,24,-1
Cruzeiro,Coritiba,28,15328,33,-1,11036,33,-4,1
Athlético-pr,Ponte preta,28,12524,38,-1,7440,37,0,-1
Santos,Internacional,28,13530,40,10,12628,41,-1,1
Sport,Chapecoense,28,6970,37,7,5150,31,-9,1
Flamengo,Vasco,28,14578,41,-1,12132,23,-30,-1
Coritiba,Atlético-mg,29,11036,33,-6,13224,53,18,-1
Internacional,Sport,29,12628,41,-3,6970,40,10,1
São paulo,Athlético-pr,29,12738,43,5,12524,38,-2,1
Ponte preta,Corinthians,29,7440,40,1,14680,60,26,0
Cruzeiro,Grêmio,29,15328,36,1,13992,51,16,0
Avaí,Vasco,29,6364,32,-16,12132,26,-29,0
Chapecoense,Palmeiras,29,5150,31,-12,11584,45,18,1
Goiás,Figueirense,29,10525,31,0,6898,28,-17,-1
Flamengo,Joinville,29,14578,41,-2,4699,24,-14,1
Santos,Fluminense,29,13530,43,12,12708,37,-6,1
Athlético-pr,Cruzeiro,30,12524,38,-3,15328,37,1,0
Atlético-mg,Internacional,30,13224,56,21,12628,44,-2,1
Figueirense,Flamengo,30,6898,31,-16,14578,44,0,1
Fluminense,São paulo,30,12708,37,-8,12738,46,6,1
Joinville,Coritiba,30,4699,24,-16,11036,33,-9,1
Palmeiras,Ponte preta,30,11584,45,14,7440,41,1,-1
Sport,Avaí,30,6970,40,9,6364,33,-16,1
Vasco,Chapecoense,30,12132,27,-29,5150,34,-8,0
Corinthians,Goiás,30,14680,61,26,10525,31,-1,1
Grêmio,Santos,30,13992,52,16,13530,46,14,1
Joinville,Figueirense,31,4699,27,-14,6898,34,-13,1
Avaí,Palmeiras,31,6364,33,-19,11584,45,13,-1
São paulo,Vasco,31,12738,46,4,12132,28,-29,0
Grêmio,Chapecoense,31,13992,55,17,5150,35,-8,-1
Athlético-pr,Corinthians,31,12524,39,-3,14680,64,29,-1
Cruzeiro,Fluminense,31,15328,38,1,12708,40,-6,1
Flamengo,Internacional,31,14578,44,-3,12628,44,-3,-1
Ponte preta,Coritiba,31,7440,44,2,11036,33,-11,1
Santos,Goiás,31,13530,46,13,10525,31,-4,1
Sport,Atlético-mg,31,6970,43,12,13224,59,22,1
Figueirense,Santos,32,6898,34,-14,13530,49,15,0
Fluminense,Athlético-pr,32,12708,40,-8,12524,39,-6,-1
Internacional,Joinville,32,12628,47,-2,4699,30,-13,1
Palmeiras,Sport,32,11584,48,15,6970,46,15,-1
Chapecoense,Avaí,32,5150,38,-7,6364,33,-21,0
Vasco,Grêmio,32,12132,29,-29,13992,55,16,0
Atlético-mg,Ponte preta,32,13224,59,19,7440,47,5,1
Corinthians,Flamengo,32,14680,67,32,14578,44,-4,1
Goiás,Cruzeiro,32,10525,31,-6,15328,41,3,-1
Coritiba,São paulo,32,11036,33,-14,12738,47,4,-1
Avaí,Cruzeiro,33,6364,34,-21,15328,44,4,0
Coritiba,Figueirense,33,11036,33,-15,6898,35,-14,0
Ponte preta,Joinville,33,7440,47,4,4699,30,-14,1
São paulo,Sport,33,12738,50,5,6970,49,17,1
Chapecoense,Athlético-pr,33,5150,39,-7,12524,42,-5,0
Atlético-mg,Corinthians,33,13224,62,20,14680,70,33,-1
Vasco,Fluminense,33,12132,30,-29,12708,40,-9,-1
Goiás,Internacional,33,10525,31,-7,12628,50,-1,1
Grêmio,Flamengo,33,13992,56,16,14578,44,-5,1
Santos,Palmeiras,33,13530,50,15,11584,48,13,1
Athlético-pr,Avaí,34,12524,43,-5,6364,35,-21,1
Fluminense,Chapecoense,34,12708,43,-8,5150,40,-7,-1
Corinthians,Coritiba,34,14680,73,36,11036,34,-15,1
Internacional,Ponte preta,34,12628,50,-2,7440,50,5,1
Joinville,Santos,34,4699,30,-15,13530,53,16,0
Figueirense,Atlético-mg,34,6898,36,-14,13224,62,17,-1
Cruzeiro,São paulo,34,15328,45,4,12738,53,8,1
Flamengo,Goiás,34,14578,44,-7,10525,34,-6,1
Sport,Grêmio,34,6970,49,14,13992,59,18,1
Palmeiras,Vasco,34,11584,48,12,12132,30,-30,-1
Cruzeiro,Sport,35,15328,48,5,6970,52,15,1
Athlético-pr,Palmeiras,35,12524,46,-4,11584,48,10,0
Avaí,Joinville,35,6364,35,-22,4699,31,-15,1
Goiás,Coritiba,35,10525,34,-9,11036,34,-16,-1
Ponte preta,Figueirense,35,7440,50,4,6898,36,-15,-1
Vasco,Corinthians,35,12132,33,-28,14680,76,37,0
Santos,Flamengo,35,13530,54,16,14578,47,-4,0
Chapecoense,Internacional,35,5150,43,-6,12628,53,-1,1
Grêmio,Fluminense,35,13992,59,17,12708,43,-9,1
São paulo,Atlético-mg,35,12738,53,7,13224,65,18,1
Palmeiras,Cruzeiro,36,11584,49,10,15328,51,8,0
Sport,Athlético-pr,36,6970,52,12,12524,47,-4,0
Figueirense,Chapecoense,36,6898,39,-14,5150,46,-5,0
Atlético-mg,Goiás,36,13224,65,16,10525,34,-11,0
Flamengo,Ponte preta,36,14578,48,-4,7440,50,3,0
Corinthians,São paulo,36,14680,77,37,12738,56,9,1
Coritiba,Santos,36,11036,37,-14,13530,55,16,1
Fluminense,Avaí,36,12708,43,-10,6364,38,-21,1
Internacional,Grêmio,36,12628,53,-2,13992,62,18,1
Joinville,Vasco,36,4699,31,-16,12132,34,-28,-1
Fluminense,Internacional,37,12708,46,-8,12628,56,-1,0
Avaí,Ponte preta,37,6364,38,-23,7440,51,3,1
São paulo,Figueirense,37,12738,56,4,6898,40,-14,1
Athlético-pr,Flamengo,37,12524,48,-4,14578,49,-4,1
Palmeiras,Coritiba,37,11584,50,10,11036,40,-13,-1
Cruzeiro,Joinville,37,15328,52,8,4699,31,-17,1
Chapecoense,Goiás,37,5150,47,-5,10525,35,-11,-1
Grêmio,Atlético-mg,37,13992,62,17,13224,66,16,1
Sport,Corinthians,37,6970,53,12,14680,80,42,1
Vasco,Santos,37,12132,37,-27,13530,55,15,1
Corinthians,Avaí,38,14680,80,40,6364,41,-22,0
Coritiba,Vasco,38,11036,43,-11,12132,40,-26,0
Atlético-mg,Chapecoense,38,13224,66,15,5150,47,-7,1
Figueirense,Fluminense,38,6898,40,-15,12708,47,-8,1
Joinville,Grêmio,38,4699,31,-20,13992,65,18,-1
Internacional,Cruzeiro,38,12628,57,-1,15328,55,11,1
Flamengo,Palmeiras,38,14578,49,-7,11584,50,8,-1
Santos,Athlético-pr,38,13530,55,14,12524,51,-1,1
Goiás,São paulo,38,10525,38,-9,12738,59,5,-1
Ponte preta,Sport,38,7440,51,2,6970,56,14,-1
