Mandante,Visitante,Rodada,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante,Classe
Palmeiras,Atlético-mg,1,11584,0,0,13224,0,0,0
Chapecoense,Coritiba,1,5150,0,0,11036,0,0,1
Fluminense,Joinville,1,12708,0,0,4699,0,0,1
Vasco,Goiás,1,12132,0,0,10525,0,0,0
Grêmio,Ponte preta,1,13992,0,0,7440,0,0,0
Avaí,Santos,1,6364,0,0,13530,0,0,0
Athlético-pr,Internacional,1,12524,0,0,12628,0,0,1
Cruzeiro,Corinthians,1,15328,0,0,14680,0,0,-1
São paulo,Flamengo,1,12738,0,0,14578,0,0,1
Sport,Figueirense,1,6970,0,0,6898,0,0,1
Corinthians,Chapecoense,2,14680,3,1,5150,3,1,1
Coritiba,Grêmio,2,11036,0,-1,13992,1,0,1
Goiás,Athlético-pr,2,10525,1,0,12524,3,3,1
Joinville,Palmeiras,2,4699,0,-1,11584,1,0,0
Flamengo,Sport,2,14578,0,-1,6970,3,3,0
Figueirense,Vasco,2,6898,0,-3,12132,1,0,0
Atlético-mg,Fluminense,2,13224,1,0,12708,3,1,1
Internacional,Avaí,2,12628,0,-3,6364,1,0,1
Ponte preta,São paulo,2,7440,1,0,12738,3,1,1
Santos,Cruzeiro,2,13530,1,0,15328,0,-1,1
Vasco,Internacional,3,12132,2,0,12628,3,-2,0
Grêmio,Figueirense,3,13992,1,-2,6898,1,-3,1
São paulo,Joinville,3,12738,3,0,4699,1,-1,1
Fluminense,Corinthians,3,12708,3,-2,14680,6,2,0
Cruzeiro,Ponte preta,3,15328,0,-2,7440,4,1,0
Athlético-pr,Atlético-mg,3,12524,3,1,13224,4,3,1
Avaí,Flamengo,3,6364,1,-1,14578,1,-1,1
Chapecoense,Santos,3,5150,3,0,13530,4,1,1
Palmeiras,Goiás,3,11584,2,0,10525,4,2,-1
Sport,Coritiba,3,6970,4,3,11036,3,1,1
Joinville,Athlético-pr,4,4699,1,-4,12524,6,2,-1
Coritiba,Avaí,4,11036,3,0,6364,4,0,-1
Ponte preta,Chapecoense,4,7440,5,1,5150,6,1,1
Goiás,Grêmio,4,10525,7,3,13992,4,-1,0
Internacional,São paulo,4,12628,4,-2,12738,6,3,0
Santos,Sport,4,13530,4,0,6970,7,4,0
Atlético-mg,Vasco,4,13224,4,2,12132,3,0,1
Figueirense,Cruzeiro,4,6898,1,-4,15328,1,-2,1
Flamengo,Fluminense,4,14578,1,-2,12708,4,-2,-1
Corinthians,Palmeiras,4,14680,7,2,11584,2,-1,-1
Avaí,Atlético-mg,5,6364,7,1,13224,7,5,-1
Athlético-pr,Figueirense,5,12524,9,3,6898,4,-3,1
Chapecoense,Joinville,5,5150,6,-1,4699,1,-5,1
Cruzeiro,Flamengo,5,15328,1,-3,14578,1,-3,1
Grêmio,Corinthians,5,13992,5,-1,14680,7,0,1
Vasco,Ponte preta,5,12132,3,-3,7440,8,3,-1
São paulo,Santos,5,12738,7,3,13530,5,0,1
Palmeiras,Internacional,5,11584,5,1,12628,5,-2,0
Fluminense,Coritiba,5,12708,7,-1,11036,3,-1,1
Sport,Goiás,5,6970,8,4,10525,8,3,1
Santos,Ponte preta,6,13530,5,-1,7440,11,6,0
Athlético-pr,Vasco,6,12524,12,4,12132,3,-6,1
Joinville,Corinthians,6,4699,1,-7,14680,7,-2,-1
Atlético-mg,Cruzeiro,6,13224,10,8,15328,4,-2,-1
Flamengo,Chapecoense,6,14578,1,-4,5150,9,1,1
São paulo,Grêmio,6,12738,10,4,13992,8,1,1
Fluminense,Sport,6,12708,10,1,6970,11,5,0
Goiás,Avaí,6,10525,8,2,6364,7,-2,-1
Figueirense,Palmeiras,6,6898,4,-4,11584,6,1,1
Internacional,Coritiba,6,12628,6,-2,11036,3,-3,1
Atlético-mg,Santos,7,13224,10,6,13530,6,-1,0
Corinthians,Internacional,7,14680,10,-1,12628,9,0,1
Vasco,Cruzeiro,7,12132,3,-8,15328,7,0,-1
Coritiba,Flamengo,7,11036,3,-5,14578,4,-3,-1
Chapecoense,São paulo,7,5150,9,0,12738,13,6,-1
Sport,Joinville,7,6970,12,5,4699,1,-8,1
Avaí,Figueirense,7,6364,10,-1,6898,7,-3,0
Ponte preta,Goiás,7,7440,12,6,10525,8,1,0
Grêmio,Athlético-pr,7,13992,8,-1,12524,15,6,1
Palmeiras,Fluminense,7,11584,6,0,12708,11,1,1
Figueirense,Internacional,8,6898,8,-3,12628,9,-1,0
Flamengo,Atlético-mg,8,14578,7,-2,13224,11,6,-1
Grêmio,Palmeiras,8,13992,11,0,11584,9,1,1
