Mandante,Visitante,Rodada,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante,Classe
Atlético-mg,Santos,1,13244,0,0,13936,0,0,1
Coritiba,Cruzeiro,1,10686,0,0,14064,0,0,1
Flamengo,Sport,1,13288,0,0,7928,0,0,1
Palmeiras,Athlético-pr,1,13056,0,0,11218,0,0,1
Internacional,Chapecoense,1,13000,0,0,6336,0,0,0
Corinthians,Grêmio,1,14664,0,0,14210,0,0,0
Figueirense,Ponte preta,1,9012,0,0,8080,0,0,0
América-mg,Fluminense,1,5202,0,0,12682,0,0,-1
Santa cruz,Vitória,1,4310,0,0,7166,0,0,1
Botafogo-rj,São paulo,1,10932,0,0,13374,0,0,-1
Cruzeiro,Figueirense,2,14064,0,-1,9012,1,0,0
Fluminense,Santa cruz,2,12682,3,1,4310,3,3,0
Ponte preta,Palmeiras,2,8080,1,0,13056,3,4,1
Athlético-pr,Atlético-mg,2,11218,0,-4,13244,3,1,0
Sport,Botafogo-rj,2,7928,0,-1,10932,0,-1,0
Chapecoense,América-mg,2,6336,1,0,5202,0,-1,1
Grêmio,Flamengo,2,14210,1,0,13288,3,1,1
São paulo,Internacional,2,13374,3,1,13000,1,0,-1
Santos,Coritiba,2,13936,0,-1,10686,3,1,1
Vitória,Corinthians,2,7166,0,-3,14664,1,0,1
Flamengo,Chapecoense,3,13288,3,0,6336,4,2,0
Figueirense,Santos,3,9012,2,0,13936,3,0,0
Coritiba,São paulo,3,10686,3,0,13374,3,0,0
América-mg,Vitória,3,5202,0,-3,7166,3,-2,0
Botafogo-rj,Athlético-pr,3,10932,1,-1,11218,1,-4,1
Palmeiras,Fluminense,3,13056,3,3,12682,4,1,1
Santa cruz,Cruzeiro,3,4310,4,3,14064,1,-1,1
Corinthians,Ponte preta,3,14664,1,-1,8080,4,1,1
Atlético-mg,Grêmio,3,13244,4,1,14210,4,1,-1
Internacional,Sport,3,13000,4,1,7928,1,-1,1
Cruzeiro,América-mg,4,14064,1,-4,5202,1,-3,0
Chapecoense,Santa cruz,4,6336,5,2,4310,7,6,0
Athlético-pr,Figueirense,4,11218,1,-5,9012,3,0,1
Vitória,Atlético-mg,4,7166,4,-2,13244,4,-2,0
Sport,Corinthians,4,7928,1,-2,14664,4,2,-1
Ponte preta,Flamengo,4,8080,4,-2,13288,4,0,-1
Fluminense,Botafogo-rj,4,12682,4,-1,10932,4,0,1
Grêmio,Coritiba,4,14210,7,4,10686,4,0,1
Santos,Internacional,4,13936,4,0,13000,7,2,-1
São paulo,Palmeiras,4,13374,4,0,13056,6,5,1
Atlético-mg,Fluminense,5,13244,5,-2,12682,7,0,0
Coritiba,Chapecoense,5,10686,4,-2,6336,6,2,-1
Corinthians,Santos,5,14664,7,4,13936,4,-1,1
Botafogo-rj,Cruzeiro,5,10932,4,-1,14064,2,-4,-1
Figueirense,São paulo,5,9012,3,-1,13374,7,1,1
Internacional,Athlético-pr,5,13000,10,3,11218,4,-4,1
Santa cruz,Sport,5,4310,8,6,7928,1,-4,-1
Flamengo,Vitória,5,13288,7,1,7166,5,-2,1
Palmeiras,Grêmio,5,13056,6,4,14210,10,6,1
América-mg,Ponte preta,5,5202,2,-3,8080,4,-3,-1
Chapecoense,Fluminense,6,6336,9,3,12682,8,0,0
Athlético-pr,Santa cruz,6,11218,4,-5,4310,8,5,1
Corinthians,Coritiba,6,14664,10,5,10686,4,-3,1
Sport,Atlético-mg,6,7928,4,-3,13244,6,-2,0
América-mg,Figueirense,6,5202,2,-4,9012,6,0,1
Grêmio,Ponte preta,6,14210,10,5,8080,7,-2,1
Flamengo,Palmeiras,6,13288,10,2,13056,9,5,-1
Santos,Botafogo-rj,6,13936,4,-2,10932,4,-2,1
Cruzeiro,São paulo,6,14064,5,-3,13374,7,0,-1
Vitória,Internacional,6,7166,5,-3,13000,13,4,1
Fluminense,Grêmio,7,12682,9,0,14210,13,6,0
São paulo,Athlético-pr,7,13374,10,1,11218,7,-4,-1
Internacional,América-mg,7,13000,13,3,5202,5,-3,1
Ponte preta,Chapecoense,7,8080,7,-3,6336,10,3,1
Botafogo-rj,Vitória,7,10932,4,-5,7166,8,-2,0
Coritiba,Sport,7,10686,4,-4,7928,5,-3,1
Atlético-mg,Cruzeiro,7,13244,7,-2,14064,5,-4,-1
Figueirense,Flamengo,7,9012,6,-1,13288,10,1,1
Palmeiras,Corinthians,7,13056,12,6,14664,13,6,1
Santa cruz,Santos,7,4310,8,4,13936,7,1,-1
Chapecoense,Grêmio,8,6336,10,2,14210,14,6,0
Coritiba,Palmeiras,8,10686,7,-3,13056,15,7,0
Botafogo-rj,América-mg,8,10932,5,-5,5202,5,-5,1
Cruzeiro,Flamengo,8,14064,8,-3,13288,10,0,-1
Ponte preta,Athlético-pr,8,8080,10,-2,11218,10,-3,1
Santa cruz,Figueirense,8,4310,8,2,9012,9,0,1
Santos,Sport,8,13936,10,3,7928,5,-4,1
São paulo,Vitória,8,13374,10,0,7166,9,-2,1
Fluminense,Corinthians,8,12682,10,0,14664,13,5,1
Internacional,Atlético-mg,8,13000,16,5,13244,7,-3,1
América-mg,Coritiba,9,5202,5,-7,10686,8,-3,1
Athlético-pr,Santos,9,11218,10,-4,13936,13,5,1
Palmeiras,Santa cruz,9,13056,16,7,4310,11,3,1
Flamengo,São paulo,9,13288,13,1,13374,13,2,0
Atlético-mg,Ponte preta,9,13244,7,-5,8080,13,-1,1
Vitória,Chapecoense,9,7166,9,-4,6336,11,2,-1
Corinthians,Botafogo-rj,9,14664,13,4,10932,8,-3,1
Figueirense,Internacional,9,9012,9,-1,13000,19,7,1
Grêmio,Cruzeiro,9,14210,15,6,14064,8,-4,1
Sport,Fluminense,9,7928,5,-6,12682,13,1,1
Palmeiras,América-mg,10,13056,19,9,5202,8,-6,1
Chapecoense,Athlético-pr,10,6336,14,3,11218,13,-3,0
Botafogo-rj,Figueirense,10,10932,8,-5,9012,12,0,0
Atlético-mg,Corinthians,10,13244,10,-2,14664,16,6,1
Ponte preta,Cruzeiro,10,8080,13,-4,14064,8,-6,-1
Santa cruz,Flamengo,10,4310,11,1,13288,14,1,-1
Fluminense,Santos,10,12682,13,0,13936,13,4,-1
Coritiba,Internacional,10,10686,8,-4,13000,19,6,0
São paulo,Sport,10,13374,14,2,7928,8,-5,0
Grêmio,Vitória,10,14210,18,8,7166,9,-5,-1
Corinthians,Santa cruz,11,14664,16,5,4310,11,0,1
Cruzeiro,Palmeiras,11,14064,11,-2,13056,22,11,1
Figueirense,Coritiba,11,9012,13,0,10686,9,-4,0
Vitória,Ponte preta,11,7166,12,-4,8080,13,-8,0
América-mg,Atlético-mg,11,5202,8,-8,13244,13,-1,-1
Athlético-pr,Grêmio,11,11218,14,-3,14210,18,7,1
Internacional,Botafogo-rj,11,13000,20,6,10932,9,-5,-1
Flamengo,Fluminense,11,13288,17,2,12682,13,-2,-1
Santos,São paulo,11,13936,16,6,13374,15,2,1
Sport,Chapecoense,11,7928,9,-5,6336,15,3,1
Chapecoense,Cruzeiro,12,6336,15,-1,14064,14,-1,1
América-mg,Corinthians,12,5202,8,-9,14664,19,6,-1
Coritiba,Athlético-pr,12,10686,10,-4,11218,17,-1,1
Flamengo,Internacional,12,13288,17,1,13000,20,5,1
Grêmio,Santos,12,14210,18,5,13936,19,9,1
São paulo,Fluminense,12,13374,15,-1,12682,16,-1,1
Vitória,Sport,12,7166,13,-4,7928,12,-1,1
Atlético-mg,Botafogo-rj,12,13244,16,0,10932,12,-4,1
Palmeiras,Figueirense,12,13056,22,10,9012,14,0,1
Santa cruz,Ponte preta,12,4310,11,-1,8080,14,-8,-1
Fluminense,Coritiba,13,12682,16,-2,10686,13,-3,0
Athlético-pr,América-mg,13,11218,17,-2,5202,8,-11,1
Figueirense,Atlético-mg,13,9012,14,-4,13244,19,2,0
Cruzeiro,Vitória,13,14064,14,-2,7166,16,-3,0
Botafogo-rj,Santa cruz,13,10932,12,-6,4310,11,-4,1
Corinthians,Flamengo,13,14664,22,8,13288,20,2,1
Internacional,Grêmio,13,13000,20,4,14210,21,6,-1
Ponte preta,São paulo,13,8080,17,-5,13374,18,0,1
Santos,Chapecoense,13,13936,19,8,6336,18,0,1
Sport,Palmeiras,13,7928,12,-2,13056,25,14,-1
Coritiba,Botafogo-rj,14,10686,14,-3,10932,15,-5,0
Chapecoense,Corinthians,14,6336,18,-3,14664,25,12,-1
Ponte preta,Sport,14,8080,20,-4,7928,12,-4,1
Vitória,Fluminense,14,7166,17,-3,12682,17,-2,0
Flamengo,Atlético-mg,14,13288,20,-2,13244,20,2,1
Grêmio,Figueirense,14,14210,24,7,9012,15,-4,1
Santa cruz,Internacional,14,4310,11,-5,13000,20,3,1
São paulo,América-mg,14,13374,18,-1,5202,8,-12,1
Cruzeiro,Athlético-pr,14,14064,15,-2,11218,20,-1,-1
Palmeiras,Santos,14,13056,28,16,13936,22,11,0
Botafogo-rj,Flamengo,15,10932,16,-5,13288,23,0,0
Santos,Ponte preta,15,13936,23,11,8080,23,-3,1
Figueirense,Chapecoense,15,9012,15,-5,6336,18,-5,0
Corinthians,São paulo,15,14664,28,14,13374,21,2,0
Athlético-pr,Vitória,15,11218,23,2,7166,18,-3,0
Fluminense,Cruzeiro,15,12682,18,-2,14064,15,-5,1
Internacional,Palmeiras,15,13000,20,2,13056,29,16,-1
América-mg,Santa cruz,15,5202,8,-15,4310,14,-4,-1
Sport,Grêmio,15,7928,12,-5,14210,27,8,1
Atlético-mg,Coritiba,15,13244,20,0,10686,15,-3,1
Corinthians,Figueirense,16,14664,29,14,9012,16,-5,0
Santa cruz,Coritiba,16,4310,17,-1,10686,15,-4,-1
Ponte preta,Internacional,16,8080,23,-5,13000,20,1,0
Palmeiras,Atlético-mg,16,13056,32,17,13244,23,1,-1
Athlético-pr,Fluminense,16,11218,24,2,12682,21,0,1
Chapecoense,Botafogo-rj,16,6336,19,-5,10932,17,-5,1
Grêmio,São paulo,16,14210,27,6,13374,22,2,1
Vitória,Santos,16,7166,19,-3,13936,26,13,-1
Cruzeiro,Sport,16,14064,15,-7,7928,15,-3,-1
Flamengo,América-mg,16,13288,24,0,5202,8,-18,1
Atlético-mg,Santa cruz,17,13244,26,2,4310,17,-2,1
Figueirense,Vitória,17,9012,17,-5,7166,19,-4,1
Sport,Athlético-pr,17,7928,18,-2,11218,27,3,1
São paulo,Chapecoense,17,13374,22,1,6336,22,-4,0
América-mg,Grêmio,17,5202,8,-19,14210,30,7,0
Botafogo-rj,Palmeiras,17,10932,17,-6,13056,32,16,1
Internacional,Corinthians,17,13000,21,1,14664,30,14,-1
Coritiba,Flamengo,17,10686,18,-3,13288,27,1,-1
Fluminense,Ponte preta,17,12682,21,-1,8080,24,-5,1
Santos,Cruzeiro,17,13936,29,14,14064,15,-8,1
Sport,América-mg,18,7928,21,0,5202,9,-19,0
Santos,Flamengo,18,13936,32,16,13288,30,3,0
Athlético-pr,Corinthians,18,11218,27,1,14664,33,15,1
Vitória,Coritiba,18,7166,19,-5,10686,18,-5,1
Chapecoense,Palmeiras,18,6336,23,-4,13056,32,14,0
Grêmio,Santa cruz,18,14210,31,7,4310,17,-5,0
São paulo,Atlético-mg,18,13374,23,1,13244,29,5,-1
Cruzeiro,Internacional,18,14064,15,-10,13000,21,0,1
Ponte preta,Botafogo-rj,18,8080,24,-8,10932,20,-4,1
Flamengo,Athlético-pr,19,13288,31,3,11218,30,3,1
Internacional,Fluminense,19,13000,21,-2,12682,27,3,0
Figueirense,Sport,19,9012,20,-5,7928,22,0,0
América-mg,Santos,19,5202,10,-19,13936,33,16,1
Coritiba,Ponte preta,19,10686,18,-7,8080,27,-6,1
Palmeiras,Vitória,19,13056,33,14,7166,22,-3,1
Santa cruz,São paulo,19,4310,18,-5,13374,23,0,-1
Corinthians,Cruzeiro,19,14664,33,13,14064,18,-8,0
Atlético-mg,Chapecoense,19,13244,32,6,6336,24,-4,1
Ponte preta,Figueirense,20,8080,27,-8,9012,21,-5,1
Sport,Flamengo,20,7928,23,0,13288,34,4,1
Cruzeiro,Coritiba,20,14064,19,-8,10686,21,-5,0
Vitória,Santa cruz,20,7166,22,-4,4310,18,-6,0
São paulo,Botafogo-rj,20,13374,26,1,10932,23,-5,-1
Fluminense,América-mg,20,12682,28,3,5202,13,-18,1
Grêmio,Corinthians,20,14210,32,6,14664,34,13,1
Athlético-pr,Palmeiras,20,11218,30,2,13056,36,15,-1
Santos,Atlético-mg,20,13936,33,15,13244,35,8,1
Chapecoense,Internacional,20,6336,24,-6,13000,22,-2,1
América-mg,Chapecoense,21,5202,13,-19,6336,27,-5,-1
Botafogo-rj,Sport,21,10932,26,-4,7928,26,1,1
Palmeiras,Ponte preta,21,13056,39,16,8080,30,-6,0
Internacional,São paulo,21,13000,22,-3,13374,26,0,0
Atlético-mg,Athlético-pr,21,13244,35,5,11218,30,1,1
Coritiba,Santos,21,10686,22,-5,13936,36,18,1
Figueirense,Cruzeiro,21,9012,21,-7,14064,20,-8,-1
Flamengo,Grêmio,21,13288,34,3,14210,35,9,1
Santa cruz,Fluminense,21,4310,19,-6,12682,31,4,-1
Corinthians,Vitória,21,14664,34,10,7166,23,-4,1
Ponte preta,Corinthians,22,8080,31,-6,14664,37,11,1
Grêmio,Atlético-mg,22,14210,35,8,13244,38,6,0
São paulo,Coritiba,22,13374,27,0,10686,25,-4,0
Sport,Internacional,22,7928,26,-2,13000,23,-3,0
Cruzeiro,Santa cruz,22,14064,23,-7,4310,19,-7,1
Santos,Figueirense,22,13936,36,17,9012,21,-8,-1
Chapecoense,Flamengo,22,6336,30,-4,13288,37,4,-1
Fluminense,Palmeiras,22,12682,34,5,13056,40,16,-1
Vitória,América-mg,22,7166,23,-5,5202,13,-20,1
Athlético-pr,Botafogo-rj,22,11218,30,0,10932,29,-1,1
Fluminense,Figueirense,18,12682,24,2,9012,20,-4,1
Botafogo-rj,Grêmio,19,10932,20,-6,14210,32,7,1
Santa cruz,Chapecoense,23,4310,19,-9,6336,30,-6,0
Atlético-mg,Vitória,23,13244,39,6,7166,26,-4,1
Botafogo-rj,Fluminense,23,10932,29,-2,12682,34,3,1
Coritiba,Grêmio,23,10686,26,-4,14210,36,8,1
Figueirense,Athlético-pr,23,9012,24,-7,11218,33,1,1
Flamengo,Ponte preta,23,13288,40,6,8080,34,-4,1
Palmeiras,São paulo,23,13056,43,18,13374,28,0,1
Corinthians,Sport,23,14664,37,9,7928,27,-2,1
América-mg,Cruzeiro,23,5202,13,-21,14064,26,-5,-1
Internacional,Santos,23,13000,24,-3,13936,36,16,1
Vitória,Flamengo,24,7166,26,-5,13288,43,7,-1
