Mandante,Visitante,Rodada,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante,Classe
Ponte preta,América-mg,24,8080,34,-5,5202,13,-23,0
Grêmio,Palmeiras,24,14210,36,4,13056,46,19,0
Athlético-pr,Internacional,24,11218,33,0,13000,27,-2,1
Cruzeiro,Botafogo-rj,24,14064,29,-3,10932,32,-1,-1
Chapecoense,Coritiba,24,6336,31,-6,10686,29,0,1
Santos,Corinthians,24,13936,36,15,14664,40,12,1
São paulo,Figueirense,24,13374,28,-1,9012,27,-6,1
Sport,Santa cruz,24,7928,27,-5,4310,20,-9,1
Fluminense,Atlético-mg,24,12682,34,2,13244,42,7,1
Figueirense,América-mg,25,9012,27,-8,5202,14,-23,0
Coritiba,Corinthians,25,10686,29,-1,14664,40,11,0
Palmeiras,Flamengo,25,13056,47,19,13288,46,8,0
Ponte preta,Grêmio,25,8080,35,-5,14210,37,4,1
Santa cruz,Athlético-pr,25,4310,20,-11,11218,36,1,1
Botafogo-rj,Santos,25,10932,35,1,13936,39,16,-1
Atlético-mg,Sport,25,13244,42,5,7928,30,-3,1
Fluminense,Chapecoense,25,12682,37,4,6336,34,-5,-1
São paulo,Cruzeiro,25,13374,31,1,14064,29,-5,1
Internacional,Vitória,25,13000,27,-3,7166,26,-6,-1
Corinthians,Palmeiras,26,14664,41,11,13056,48,19,-1
Cruzeiro,Atlético-mg,26,14064,29,-6,13244,45,6,0
Chapecoense,Ponte preta,26,6336,37,-4,8080,38,-2,0
Athlético-pr,São paulo,26,11218,36,0,13374,34,2,1
Vitória,Botafogo-rj,26,7166,29,-5,10932,35,0,-1
Sport,Coritiba,26,7928,30,-4,10686,30,-1,-1
Flamengo,Figueirense,26,13288,47,8,9012,28,-8,1
Grêmio,Fluminense,26,14210,37,1,12682,37,3,-1
Santos,Santa cruz,26,13936,42,17,4310,23,-10,1
América-mg,Internacional,26,5202,15,-23,13000,27,-4,1
América-mg,Botafogo-rj,27,5202,18,-22,10932,38,1,1
Palmeiras,Coritiba,27,13056,51,21,10686,33,0,1
Sport,Santos,27,7928,30,-5,13936,45,18,1
Atlético-mg,Internacional,27,13244,46,6,13000,27,-5,1
Athlético-pr,Ponte preta,27,11218,39,1,8080,39,-2,1
Figueirense,Santa cruz,27,9012,28,-10,4310,23,-11,1
Flamengo,Cruzeiro,27,13288,50,10,14064,30,-6,1
Corinthians,Fluminense,27,14664,41,9,12682,40,4,-1
Grêmio,Chapecoense,27,14210,37,0,6336,38,-4,1
Vitória,São paulo,27,7166,29,-6,13374,34,1,1
São paulo,Flamengo,28,13374,34,-1,13288,53,11,0
Ponte preta,Atlético-mg,28,8080,39,-5,13244,49,8,-1
Botafogo-rj,Corinthians,28,10932,38,0,14664,41,8,1
Cruzeiro,Grêmio,28,14064,30,-7,14210,40,1,1
Fluminense,Sport,28,12682,43,5,7928,33,-4,1
Internacional,Figueirense,28,13000,27,-7,9012,31,-8,1
Santos,Athlético-pr,28,13936,45,17,11218,42,4,1
Chapecoense,Vitória,28,6336,38,-5,7166,32,-4,-1
Coritiba,América-mg,28,10686,33,-1,5202,21,-21,1
Santa cruz,Palmeiras,28,4310,23,-13,13056,54,22,-1
Corinthians,Atlético-mg,29,14664,41,6,13244,52,9,0
Sport,São paulo,29,7928,33,-6,13374,35,-1,0
Athlético-pr,Chapecoense,29,11218,42,2,6336,38,-8,1
Vitória,Grêmio,29,7166,35,-1,14210,40,0,-1
Santos,Fluminense,29,13936,48,19,12682,46,7,1
Internacional,Coritiba,29,13000,30,-6,10686,36,2,1
Cruzeiro,Ponte preta,29,14064,33,-6,8080,39,-6,1
Figueirense,Botafogo-rj,29,9012,31,-9,10932,41,2,-1
Flamengo,Santa cruz,29,13288,54,11,4310,23,-14,1
América-mg,Palmeiras,29,5202,21,-24,13056,57,23,-1
Coritiba,Figueirense,30,10686,36,1,9012,31,-10,0
Botafogo-rj,Internacional,30,10932,44,3,13000,33,-5,1
Chapecoense,Sport,30,6336,38,-10,7928,34,-6,1
Santa cruz,Corinthians,30,4310,23,-17,14664,42,6,-1
Palmeiras,Cruzeiro,30,13056,60,25,14064,36,-4,0
Atlético-mg,América-mg,30,13244,53,9,5202,21,-26,1
Fluminense,Flamengo,30,12682,46,6,13288,57,14,-1
Grêmio,Athlético-pr,30,14210,43,1,11218,45,4,1
Ponte preta,Vitória,30,8080,39,-8,7166,35,-2,1
São paulo,Santos,30,13374,36,-1,13936,51,20,-1
Cruzeiro,Chapecoense,31,14064,37,-4,6336,41,-7,0
Santos,Grêmio,31,13936,54,21,14210,46,2,0
Athlético-pr,Coritiba,31,11218,45,3,10686,37,1,1
Botafogo-rj,Atlético-mg,31,10932,47,4,13244,56,12,1
Corinthians,América-mg,31,14664,45,8,5202,21,-29,1
Internacional,Flamengo,31,13000,33,-6,13288,60,15,1
Figueirense,Palmeiras,31,9012,32,-10,13056,61,25,-1
Ponte preta,Santa cruz,31,8080,42,-6,4310,23,-19,1
Sport,Vitória,31,7928,34,-9,7166,35,-4,1
Fluminense,São paulo,31,12682,46,5,13374,36,-2,-1
Santa cruz,Botafogo-rj,32,4310,23,-22,10932,50,5,-1
São paulo,Ponte preta,32,13374,39,-1,8080,45,-3,1
Flamengo,Corinthians,32,13288,60,14,14664,48,10,0
Coritiba,Fluminense,32,10686,37,-1,12682,46,4,0
Grêmio,Internacional,32,14210,47,2,13000,36,-5,0
Atlético-mg,Figueirense,32,13244,56,11,9012,32,-11,1
Vitória,Cruzeiro,32,7166,35,-5,14064,38,-4,-1
Palmeiras,Sport,32,13056,64,26,7928,37,-8,1
Chapecoense,Santos,32,6336,42,-7,13936,55,21,-1
América-mg,Athlético-pr,32,5202,21,-31,11218,48,5,1
Sport,Ponte preta,33,7928,37,-9,8080,45,-5,1
Fluminense,Vitória,33,12682,47,4,7166,35,-6,0
Corinthians,Chapecoense,33,14664,49,10,6336,42,-8,0
Botafogo-rj,Coritiba,33,10932,53,6,10686,38,-1,0
Atlético-mg,Flamengo,33,13244,59,14,13288,61,14,0
Figueirense,Grêmio,33,9012,32,-14,14210,48,2,0
Internacional,Santa cruz,33,13000,37,-5,4310,23,-23,0
Athlético-pr,Cruzeiro,33,11218,48,4,14064,41,-3,1
Santos,Palmeiras,33,13936,58,22,13056,67,27,1
América-mg,São paulo,33,5202,24,-30,13374,42,1,1
Flamengo,Botafogo-rj,34,13288,62,14,10932,54,6,0
São paulo,Corinthians,34,13374,42,0,14664,50,10,1
Chapecoense,Figueirense,34,6336,43,-8,9012,33,-14,1
Coritiba,Atlético-mg,34,10686,39,-1,13244,60,14,1
Cruzeiro,Fluminense,34,14064,41,-4,12682,48,4,1
Palmeiras,Internacional,34,13056,67,26,13000,38,-5,1
Santa cruz,América-mg,34,4310,24,-23,5202,27,-29,1
Ponte preta,Santos,34,8080,45,-6,13936,61,23,-1
Vitória,Athlético-pr,34,7166,36,-6,11218,51,5,1
Grêmio,Sport,34,14210,49,2,7928,40,-8,-1
Fluminense,Athlético-pr,35,12682,48,2,11218,51,4,0
Figueirense,Corinthians,35,9012,33,-15,14664,50,6,0
Botafogo-rj,Chapecoense,35,10932,55,6,6336,46,-7,-1
Coritiba,Santa cruz,35,10686,42,1,4310,27,-22,1
Sport,Cruzeiro,35,7928,43,-5,14064,44,-2,-1
América-mg,Flamengo,35,5202,27,-30,13288,63,14,-1
São paulo,Grêmio,35,13374,45,4,14210,49,-1,0
Atlético-mg,Palmeiras,35,13244,60,12,13056,70,27,0
Internacional,Ponte preta,35,13000,38,-6,8080,45,-7,0
Santos,Vitória,35,13936,64,24,7166,39,-5,1
Santa cruz,Atlético-mg,36,4310,27,-23,13244,61,12,0
Flamengo,Coritiba,36,13288,66,15,10686,45,2,0
Cruzeiro,Santos,36,14064,47,-1,13936,67,25,0
Athlético-pr,Sport,36,11218,52,4,7928,43,-6,1
Chapecoense,São paulo,36,6336,49,-5,13374,46,4,1
Grêmio,América-mg,36,14210,50,-1,5202,27,-31,1
Palmeiras,Botafogo-rj,36,13056,71,27,10932,55,4,1
Ponte preta,Fluminense,36,8080,46,-7,12682,49,2,1
Vitória,Figueirense,36,7166,39,-6,9012,34,-15,1
Corinthians,Internacional,36,14664,51,6,13000,39,-6,1
Corinthians,Athlético-pr,37,14664,54,7,11218,55,6,0
Botafogo-rj,Ponte preta,37,10932,55,3,8080,49,-6,0
América-mg,Sport,37,5202,27,-34,7928,43,-8,0
Figueirense,Fluminense,37,9012,34,-19,12682,49,1,1
Flamengo,Santos,37,13288,67,15,13936,68,25,1
Internacional,Cruzeiro,37,13000,39,-7,14064,48,-1,1
Palmeiras,Chapecoense,37,13056,74,28,6336,52,-3,1
Santa cruz,Grêmio,37,4310,28,-23,14210,53,2,1
Atlético-mg,São paulo,37,13244,62,12,13374,46,2,-1
Coritiba,Vitória,37,10686,46,2,7166,42,-2,-1
Chapecoense,Atlético-mg,38,6336,52,-4,13244,62,11,0
Athlético-pr,Flamengo,38,11218,56,6,13288,70,17,0
Fluminense,Internacional,38,12682,49,0,13000,42,-6,0
Grêmio,Botafogo-rj,38,14210,53,-2,10932,56,3,-1
Cruzeiro,Corinthians,38,14064,48,-2,14664,55,7,1
Vitória,Palmeiras,38,7166,45,-1,13056,77,29,-1
Ponte preta,Coritiba,38,8080,50,-6,10686,46,1,1
Santos,América-mg,38,13936,68,23,5202,28,-34,1
São paulo,Santa cruz,38,13374,49,3,4310,31,-19,1
Sport,Figueirense,38,7928,44,-8,9012,37,-18,1
