Mandante,Visitante,Rodada,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante,Classe
Atlético-mg,Avaí,1,13352,0,0,6394,0,0,1
Chapecoense,Internacional,1,10706,0,0,10902,0,0,1
Flamengo,Cruzeiro,1,13850,0,0,15822,0,0,1
São paulo,Botafogo-rj,1,10508,0,0,10619,0,0,1
Athlético-pr,Vasco,1,11380,0,0,9360,0,0,1
Bahia,Corinthians,1,8862,0,0,14208,0,0,1
Ceará,Csa,1,6274,0,0,2850,0,0,1
Fluminense,Goiás,1,10034,0,0,6168,0,0,-1
Palmeiras,Fortaleza,1,16914,0,0,4222,0,0,1
Grêmio,Santos,1,14936,0,0,14682,0,0,-1
Avaí,Grêmio,2,6394,0,-1,14936,0,-1,0
Csa,Palmeiras,2,2850,0,-4,16914,3,4,0
Vasco,Atlético-mg,2,9360,0,-3,13352,3,1,-1
Corinthians,Chapecoense,2,14208,0,-1,10706,3,2,1
Cruzeiro,Ceará,2,15822,0,-2,6274,3,4,1
Fortaleza,Athlético-pr,2,4222,0,-4,11380,3,3,1
Internacional,Flamengo,2,10902,0,-2,13850,3,2,1
Goiás,São paulo,2,6168,3,1,10508,3,2,-1
Botafogo-rj,Bahia,2,10619,0,-2,8862,3,1,1
Santos,Fluminense,2,14682,3,1,10034,0,-1,1
Vasco,Corinthians,3,9360,0,-4,14208,3,0,0
Ceará,Atlético-mg,3,6274,3,3,13352,6,2,-1
Palmeiras,Internacional,3,16914,4,4,10902,3,-1,1
Chapecoense,Athlético-pr,3,10706,3,1,11380,3,2,0
São paulo,Flamengo,3,10508,6,3,13850,3,1,0
Csa,Santos,3,2850,1,-4,14682,6,2,0
Bahia,Avaí,3,8862,3,0,6394,1,-1,1
Botafogo-rj,Fortaleza,3,10619,3,-1,4222,3,-3,1
Cruzeiro,Goiás,3,15822,3,-1,6168,3,0,1
Grêmio,Fluminense,3,14936,1,-1,10034,0,-2,-1
Corinthians,Grêmio,4,14208,4,0,14936,1,-2,0
Fluminense,Botafogo-rj,4,10034,3,-1,10619,6,0,-1
Goiás,Ceará,4,6168,3,-1,6274,3,2,1
Avaí,Csa,4,6394,1,-2,2850,2,-4,0
Athlético-pr,Bahia,4,11380,4,2,8862,6,1,1
Flamengo,Chapecoense,4,13850,4,1,10706,4,1,1
Internacional,Cruzeiro,4,10902,3,-2,15822,6,0,1
Atlético-mg,Palmeiras,4,13352,9,3,16914,7,5,-1
Santos,Vasco,4,14682,7,2,9360,1,-4,1
Fortaleza,São paulo,4,4222,3,-4,10508,7,3,-1
Atlético-mg,Flamengo,5,13352,9,1,13850,7,2,1
Fluminense,Cruzeiro,5,10034,3,-2,15822,6,-2,1
Palmeiras,Santos,5,16914,10,7,14682,10,5,1
Vasco,Avaí,5,9360,1,-7,6394,2,-2,0
São paulo,Bahia,5,10508,10,4,8862,6,0,0
Ceará,Grêmio,5,6274,3,1,14936,2,-2,1
Athlético-pr,Corinthians,5,11380,7,3,14208,5,0,-1
Chapecoense,Fortaleza,5,10706,4,0,4222,3,-5,-1
Goiás,Botafogo-rj,5,6168,6,0,10619,9,1,1
Internacional,Csa,5,10902,6,0,2850,3,-4,1
Grêmio,Atlético-mg,6,14936,2,-3,13352,12,2,1
Botafogo-rj,Palmeiras,6,10619,9,0,16914,13,11,-1
Santos,Internacional,6,14682,10,1,10902,9,2,0
Fortaleza,Vasco,6,4222,6,-3,9360,2,-7,0
Bahia,Fluminense,6,8862,7,0,10034,6,1,1
Cruzeiro,Chapecoense,6,15822,6,-5,10706,4,-2,-1
Corinthians,São paulo,6,14208,8,2,10508,11,4,1
Flamengo,Athlético-pr,6,13850,7,1,11380,7,1,1
Avaí,Ceará,6,6394,3,-2,6274,6,2,-1
Csa,Goiás,6,2850,3,-6,6168,9,1,1
Bahia,Grêmio,7,8862,10,1,14936,5,-2,1
Flamengo,Fortaleza,7,13850,10,2,4222,7,-3,1
São paulo,Cruzeiro,7,10508,11,3,15822,6,-6,0
Athlético-pr,Fluminense,7,11380,7,0,10034,6,0,1
Atlético-mg,Csa,7,13352,12,1,2850,6,-5,1
Botafogo-rj,Vasco,7,10619,9,-1,9360,3,-7,1
Internacional,Avaí,7,10902,10,2,6394,3,-3,1
Chapecoense,Palmeiras,7,10706,7,-1,16914,16,12,-1
Ceará,Santos,7,6274,9,3,14682,11,1,-1
Vasco,Internacional,8,9360,3,-8,10902,13,4,1
Ceará,Bahia,8,6274,9,2,8862,13,2,0
Cruzeiro,Corinthians,8,15822,7,-6,14208,14,5,0
Avaí,São paulo,8,6394,3,-5,10508,12,3,0
Grêmio,Fortaleza,8,14936,5,-3,4222,7,-5,1
Palmeiras,Athlético-pr,8,16914,19,13,11380,10,3,1
Fluminense,Flamengo,8,10034,6,-3,13850,13,4,0
Csa,Botafogo-rj,8,2850,6,-9,10619,12,0,-1
Santos,Atlético-mg,8,14682,14,2,13352,15,5,1
Goiás,Chapecoense,8,6168,9,-2,10706,7,-2,1
Csa,Flamengo,9,2850,6,-10,13850,14,4,-1
Fortaleza,Cruzeiro,9,4222,7,-6,15822,8,-6,1
Botafogo-rj,Grêmio,9,10619,15,1,14936,8,-2,-1
Internacional,Bahia,9,10902,13,3,8862,14,2,1
Santos,Corinthians,9,14682,17,4,14208,15,5,1
Chapecoense,Fluminense,9,10706,7,-4,10034,7,-3,0
Atlético-mg,São paulo,9,13352,15,3,10508,13,3,0
Goiás,Athlético-pr,9,6168,12,0,11380,10,2,1
Palmeiras,Avaí,9,16914,22,14,6394,4,-5,1
Vasco,Ceará,9,9360,6,-7,6274,10,2,1
São paulo,Palmeiras,10,10508,14,3,16914,25,16,0
Fortaleza,Avaí,10,4222,10,-5,6394,4,-7,1
Grêmio,Vasco,10,14936,11,-1,9360,9,-6,1
Bahia,Santos,10,8862,14,0,14682,20,5,-1
Cruzeiro,Botafogo-rj,10,15822,8,-7,10619,15,0,0
Athlético-pr,Internacional,10,11380,10,1,10902,16,5,1
Chapecoense,Atlético-mg,10,10706,8,-4,13352,16,3,-1
Corinthians,Csa,10,14208,15,4,2850,6,-12,1
Flamengo,Goiás,10,13850,17,6,6168,15,1,1
Fluminense,Ceará,10,10034,8,-3,6274,10,1,0
Bahia,Cruzeiro,11,8862,14,-1,15822,9,-7,0
Internacional,Grêmio,11,10902,16,4,14936,14,0,0
Csa,Athlético-pr,11,2850,6,-13,11380,13,2,-1
Ceará,Palmeiras,11,6274,11,1,16914,26,16,1
Vasco,Fluminense,11,9360,9,-7,10034,9,-3,1
Corinthians,Flamengo,11,14208,18,5,13850,20,11,0
Atlético-mg,Fortaleza,11,13352,19,4,4222,13,-3,0
Avaí,Goiás,11,6394,4,-9,6168,15,-4,0
Botafogo-rj,Santos,11,10619,16,0,14682,23,6,-1
São paulo,Chapecoense,11,10508,15,3,10706,8,-5,1
Palmeiras,Vasco,12,16914,26,14,9360,12,-6,0
Cruzeiro,Athlético-pr,12,15822,10,-7,11380,16,6,-1
Internacional,Ceará,12,10902,17,4,6274,14,3,1
Fluminense,São paulo,12,10034,9,-4,10508,18,7,-1
Goiás,Atlético-mg,12,6168,16,-4,13352,20,4,0
Chapecoense,Bahia,12,10706,8,-9,8862,15,-1,0
Fortaleza,Corinthians,12,4222,14,-3,14208,19,5,-1
Flamengo,Botafogo-rj,12,13850,21,11,10619,16,-1,1
Santos,Avaí,12,14682,26,7,6394,5,-9,1
Csa,Grêmio,12,2850,6,-17,14936,15,0,0
Ceará,Fortaleza,13,6274,14,2,4222,14,-5,1
Fluminense,Internacional,13,10034,9,-5,10902,20,5,1
Vasco,Csa,13,9360,13,-6,2850,7,-17,0
Corinthians,Palmeiras,13,14208,22,7,16914,27,14,0
Atlético-mg,Cruzeiro,13,13352,21,4,15822,10,-9,1
Bahia,Flamengo,13,8862,16,-1,13850,24,12,1
Avaí,Botafogo-rj,13,6394,5,-11,10619,16,-2,-1
Santos,Goiás,13,14682,29,9,6168,17,-4,1
Grêmio,Chapecoense,13,14936,16,0,10706,9,-9,0
Corinthians,Goiás,7,14208,11,3,6168,9,0,1
Atlético-mg,Fluminense,14,13352,24,6,10034,12,-4,1
Ceará,Chapecoense,14,6274,17,3,10706,10,-9,1
Flamengo,Grêmio,14,13850,24,9,14936,17,0,1
São paulo,Santos,14,10508,24,9,14682,32,14,1
Palmeiras,Bahia,14,16914,28,14,8862,19,2,0
Internacional,Corinthians,14,10902,20,4,14208,23,7,0
Avaí,Cruzeiro,14,6394,5,-13,15822,10,-11,0
Botafogo-rj,Athlético-pr,14,10619,19,0,11380,19,7,1
Goiás,Vasco,14,6168,17,-9,9360,14,-6,-1
Csa,Fortaleza,14,2850,8,-17,4222,14,-6,-1
Grêmio,Palmeiras,15,14936,17,-2,16914,29,14,0
Athlético-pr,Atlético-mg,15,11380,19,6,13352,27,7,1
Corinthians,Botafogo-rj,15,14208,24,7,10619,22,1,1
Vasco,Flamengo,15,9360,17,-5,13850,27,11,-1
Fortaleza,Internacional,15,4222,17,-4,10902,21,4,-1
Bahia,Goiás,15,8862,20,2,6168,17,-10,0
