Mandante,Visitante,Rodada,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante,Classe
Corinthians,Botafogo-rj,1,15624,0,0,10622,0,0,0
Vitória,Internacional,1,9900,0,0,14360,0,0,0
Vasco,Portuguesa,1,15030,0,0,7840,0,0,1
Santos,Flamengo,1,13736,0,0,14352,0,0,0
Coritiba,Atlético-mg,1,12804,0,0,11520,0,0,1
Criciúma,Bahia,1,4370,0,0,9282,0,0,1
Cruzeiro,Goiás,1,13096,0,0,9896,0,0,1
Fluminense,Athlético-pr,1,16208,0,0,11078,0,0,1
Grêmio,Náutico,1,14460,0,0,8036,0,0,1
Ponte preta,São paulo,1,7600,0,0,14786,0,0,-1
Goiás,Corinthians,2,9896,0,-5,15624,1,0,0
Bahia,Coritiba,2,9282,0,-2,12804,3,1,0
Athlético-pr,Cruzeiro,2,11078,0,-1,13096,3,5,0
Botafogo-rj,Santos,2,10622,1,0,13736,1,0,1
Flamengo,Ponte preta,2,14352,1,0,7600,0,-2,-1
São paulo,Vasco,2,14786,3,2,15030,3,1,1
Náutico,Vitória,2,8036,0,-2,9900,1,0,-1
Internacional,Criciúma,2,14360,1,0,4370,3,2,1
Goiás,Coritiba,3,9896,1,-5,12804,4,1,0
Athlético-pr,Flamengo,3,11078,1,-1,14352,1,-2,0
Santos,Grêmio,3,13736,1,-1,14460,3,0,0
Botafogo-rj,Cruzeiro,3,10622,4,1,13096,4,5,1
Corinthians,Ponte preta,3,15624,2,0,7600,3,0,1
Vitória,Vasco,3,9900,4,3,15030,3,-3,1
Náutico,Portuguesa,3,8036,0,-5,7840,3,0,0
Atlético-mg,São paulo,3,11520,3,1,14786,6,6,0
Internacional,Bahia,3,14360,4,2,9282,1,-2,-1
Fluminense,Criciúma,3,16208,3,0,4370,3,0,1
Portuguesa,Internacional,4,7840,4,0,14360,4,1,0
Ponte preta,Athlético-pr,4,7600,3,-1,11078,2,-1,-1
Bahia,Botafogo-rj,4,9282,4,-1,10622,7,2,1
Criciúma,Santos,4,4370,3,-3,13736,2,-1,1
Cruzeiro,Corinthians,4,13096,4,4,15624,5,1,1
São paulo,Goiás,4,14786,7,6,9896,2,-5,-1
Grêmio,Vitória,4,14460,4,0,9900,7,5,1
Flamengo,Náutico,4,14352,2,-2,8036,1,-5,-1
Vasco,Atlético-mg,4,15030,3,-5,11520,4,1,1
Coritiba,Fluminense,4,12804,5,1,16208,6,3,1
Vasco,Bahia,5,15030,6,-3,9282,7,0,0
Cruzeiro,Internacional,5,13096,7,5,14360,5,1,0
Corinthians,Portuguesa,5,15624,5,0,7840,5,0,0
Ponte preta,Botafogo-rj,5,7600,3,-2,10622,7,1,-1
Criciúma,Flamengo,5,4370,6,-1,14352,2,-3,-1
Atlético-mg,Grêmio,2,11520,0,-1,14460,3,2,1
Coritiba,Náutico,5,12804,8,2,8036,4,-4,1
Fluminense,Goiás,5,16208,6,2,9896,5,-4,1
Vitória,Athlético-pr,5,9900,7,4,11078,5,0,1
Grêmio,São paulo,5,14460,7,1,14786,7,5,0
Portuguesa,Fluminense,2,7840,0,-1,16208,3,1,1
Santos,Atlético-mg,5,13736,2,-3,11520,4,-1,1
Flamengo,Coritiba,6,14352,5,0,12804,11,3,0
Portuguesa,Cruzeiro,6,7840,6,0,13096,8,5,0
Athlético-pr,Grêmio,6,11078,5,-1,14460,8,1,0
Náutico,Ponte preta,6,8036,4,-5,7600,3,-4,-1
Atlético-mg,Criciúma,6,11520,4,-2,4370,6,-4,1
Botafogo-rj,Fluminense,6,10622,10,3,16208,9,3,1
Bahia,Corinthians,6,9282,8,0,15624,6,0,-1
Goiás,Vitória,6,9896,5,-5,9900,10,5,1
Internacional,Vasco,6,14360,6,1,15030,7,-3,1
São paulo,Santos,6,14786,8,5,13736,5,-2,-1
São paulo,Bahia,11,14786,12,0,9282,16,2,-1
Ponte preta,Bahia,7,7600,6,-2,9282,8,-2,0
Fluminense,Internacional,7,16208,9,2,14360,9,3,-1
Santos,Portuguesa,7,13736,8,0,7840,7,0,1
Criciúma,Goiás,7,4370,6,-5,9896,8,-4,0
Corinthians,Atlético-mg,7,15624,9,2,11520,7,-1,-1
Coritiba,Athlético-pr,7,12804,12,3,11078,6,-1,1
Cruzeiro,Náutico,7,13096,9,5,8036,4,-7,1
Vasco,Flamengo,7,15030,7,-5,14352,6,0,-1
Grêmio,Botafogo-rj,7,14460,9,1,10622,13,4,1
Vitória,São paulo,7,9900,10,4,14786,8,3,1
Botafogo-rj,Náutico,8,10622,13,3,8036,4,-10,1
Criciúma,Grêmio,8,4370,7,-5,14460,12,2,1
São paulo,Cruzeiro,8,14786,8,2,13096,12,8,-1
Vitória,Bahia,8,9900,13,5,9282,9,-2,0
Athlético-pr,Corinthians,8,11078,6,-2,15624,9,1,0
Santos,Coritiba,8,13736,11,3,12804,15,4,0
Goiás,Portuguesa,8,9896,9,-4,7840,7,-3,1
Internacional,Flamengo,8,14360,12,4,14352,9,1,1
Fluminense,Vasco,8,16208,9,1,15030,7,-6,-1
São paulo,Internacional,12,14786,12,-1,14360,16,1,-1
Portuguesa,Athlético-pr,9,7840,7,-4,11078,7,-2,-1
Ponte preta,Santos,9,7600,7,-6,13736,12,3,1
Vasco,Criciúma,9,15030,10,-4,4370,10,-4,1
Flamengo,Botafogo-rj,9,14352,9,0,10622,16,5,0
Corinthians,São paulo,9,15624,10,1,14786,8,-1,0
Coritiba,Vitória,9,12804,16,4,9900,14,5,0
Bahia,Goiás,9,9282,10,-2,9896,12,-3,1
Cruzeiro,Atlético-mg,9,13096,15,11,11520,13,4,1
Grêmio,Fluminense,9,14460,12,1,16208,9,-1,1
Náutico,Internacional,9,8036,4,-12,14360,15,5,1
Portuguesa,Criciúma,10,7840,7,-5,4370,10,-5,0
Atlético-mg,Athlético-pr,10,11520,13,1,11078,10,-1,-1
Bahia,Flamengo,10,9282,13,-1,14352,10,0,1
Corinthians,Grêmio,10,15624,11,1,14460,15,3,1
Coritiba,Ponte preta,10,12804,17,4,7600,10,-5,1
Fluminense,Cruzeiro,10,16208,9,-3,13096,18,14,1
Goiás,Vasco,10,9896,12,-4,15030,13,-3,0
Botafogo-rj,Vitória,10,10622,17,5,9900,15,5,1
Cruzeiro,Coritiba,11,13096,18,13,12804,20,6,1
Ponte preta,Fluminense,11,7600,10,-7,16208,12,-2,0
Grêmio,Internacional,11,14460,15,1,14360,15,1,0
Athlético-pr,Goiás,11,11078,13,0,9896,13,-4,1
Vasco,Botafogo-rj,11,15030,14,-3,10622,20,7,-1
Criciúma,Corinthians,11,4370,11,-5,15624,14,3,-1
Flamengo,Atlético-mg,11,14352,10,-3,11520,13,0,1
Vitória,Portuguesa,11,9900,15,3,7840,8,-5,1
Atlético-mg,Botafogo-rj,12,11520,13,-3,10622,23,8,0
Santos,Corinthians,12,13736,16,3,15624,17,5,0
Vitória,Fluminense,12,9900,18,4,16208,13,-2,0
Flamengo,Portuguesa,12,14352,13,0,7840,8,-6,0
Athlético-pr,Bahia,12,11078,16,2,9282,19,3,1
Criciúma,Cruzeiro,12,4370,11,-7,13096,21,14,-1
Goiás,Náutico,12,9896,13,-6,8036,8,-10,1
Vasco,Ponte preta,12,15030,14,-4,7600,11,-7,0
Grêmio,Coritiba,12,14460,16,1,12804,20,5,-1
Náutico,Atlético-mg,13,8036,8,-11,11520,14,-3,0
Botafogo-rj,Goiás,13,10622,24,8,9896,16,-5,0
Internacional,Athlético-pr,13,14360,19,2,11078,19,3,0
Cruzeiro,Santos,13,13096,24,15,13736,17,3,0
Corinthians,Vitória,13,15624,18,5,9900,19,4,1
Fluminense,Flamengo,13,16208,14,-2,14352,14,0,-1
Bahia,Grêmio,13,9282,19,2,14460,16,0,-1
Ponte preta,Criciúma,13,7600,12,-7,4370,11,-8,1
Portuguesa,São paulo,13,7840,9,-6,14786,12,-2,1
Coritiba,Vasco,13,12804,23,6,15030,15,-4,-1
Fluminense,Corinthians,14,16208,14,-3,15624,21,7,0
Goiás,Flamengo,14,9896,17,-5,14352,17,1,0
Coritiba,Portuguesa,14,12804,23,5,7840,12,-5,0
Santos,Vasco,14,13736,18,3,15030,18,-3,0
Atlético-mg,Bahia,14,11520,15,-3,9282,19,-1,1
Criciúma,Náutico,14,4370,11,-10,8036,9,-11,1
