Mandante,Visitante,Rodada,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante,Classe
Chapecoense,Coritiba,1,3557,0,0,11572,0,0,0
Fluminense,Figueirense,1,14424,0,0,6248,0,0,1
Internacional,Vitória,1,13936,0,0,9468,0,0,1
Atlético-mg,Corinthians,1,11228,0,0,15048,0,0,0
Flamengo,Goiás,1,14776,0,0,11526,0,0,0
Santos,Sport,1,12980,0,0,6740,0,0,0
Athlético-pr,Grêmio,1,12952,0,0,15286,0,0,1
Bahia,Cruzeiro,1,9406,0,0,13512,0,0,-1
Criciúma,Palmeiras,1,5818,0,0,12680,0,0,-1
São paulo,Botafogo-rj,1,13712,0,0,11764,0,0,1
Coritiba,Santos,2,11572,1,0,12980,1,0,0
Palmeiras,Fluminense,2,12680,3,1,14424,3,3,-1
Vitória,Athlético-pr,2,9468,0,-1,12952,3,1,0
Botafogo-rj,Internacional,2,11764,0,-3,13936,3,1,0
Cruzeiro,São paulo,2,13512,3,1,13712,3,3,0
Figueirense,Bahia,2,6248,0,-3,9406,0,-1,-1
Corinthians,Flamengo,2,15048,1,0,14776,1,0,1
Goiás,Criciúma,2,11526,1,0,5818,0,-1,1
Grêmio,Atlético-mg,2,15286,0,-1,11228,1,0,1
Sport,Chapecoense,2,6740,1,0,3557,1,0,1
São paulo,Coritiba,3,13712,4,3,11572,2,0,0
Santos,Grêmio,3,12980,2,0,15286,3,0,0
Athlético-pr,Cruzeiro,3,12952,4,1,13512,4,1,-1
Fluminense,Vitória,3,14424,6,4,9468,1,-1,-1
Bahia,Botafogo-rj,3,9406,3,1,11764,1,-3,1
Chapecoense,Corinthians,3,3557,1,-1,15048,4,2,-1
Criciúma,Figueirense,3,5818,0,-2,6248,0,-5,1
Flamengo,Palmeiras,3,14776,1,-2,12680,3,0,1
Atlético-mg,Goiás,3,11228,1,-1,11526,4,1,-1
Internacional,Sport,3,13936,4,1,6740,4,1,1
Botafogo-rj,Criciúma,4,11764,1,-4,5818,3,-1,1
Internacional,Athlético-pr,4,13936,7,2,12952,4,0,1
Palmeiras,Goiás,4,12680,3,-2,11526,7,2,1
São paulo,Corinthians,4,13712,5,3,15048,7,3,0
Bahia,Vitória,4,9406,6,2,9468,4,0,0
Atlético-mg,Cruzeiro,4,11228,1,-2,13512,7,2,1
Fluminense,Flamengo,4,14424,6,3,14776,4,0,1
Chapecoense,Grêmio,4,3557,1,-2,15286,4,0,-1
Figueirense,Santos,4,6248,0,-6,12980,3,0,-1
Coritiba,Sport,4,11572,3,0,6740,4,0,-1
Goiás,Botafogo-rj,5,11526,7,0,11764,4,2,1
Cruzeiro,Coritiba,5,13512,7,1,11572,3,-1,1
Athlético-pr,Chapecoense,5,12952,4,-1,3557,1,-3,0
Criciúma,Internacional,5,5818,3,-7,13936,10,3,0
Santos,Atlético-mg,5,12980,6,2,11228,4,-1,-1
Corinthians,Figueirense,5,15048,8,3,6248,0,-8,-1
Grêmio,Fluminense,5,15286,7,1,14424,9,5,1
Vitória,Palmeiras,5,9468,5,0,12680,6,0,-1
Flamengo,São paulo,5,14776,4,-2,13712,6,3,-1
Corinthians,Athlético-pr,6,15048,8,2,12952,5,-1,0
Flamengo,Bahia,6,14776,4,-4,9406,7,1,0
Coritiba,Internacional,6,11572,3,-2,13936,11,3,0
Criciúma,Chapecoense,6,5818,4,-7,3557,2,-3,1
Cruzeiro,Sport,6,13512,10,2,6740,10,2,1
Fluminense,São paulo,6,14424,9,4,13712,9,5,1
Grêmio,Botafogo-rj,6,15286,10,2,11764,4,0,1
Goiás,Santos,6,11526,10,2,12980,6,1,0
Vitória,Atlético-mg,6,9468,5,-1,11228,7,0,-1
Palmeiras,Figueirense,6,12680,9,1,6248,3,-7,1
Bahia,Fluminense,7,9406,8,1,14424,12,7,-1
São paulo,Grêmio,7,13712,9,2,15286,13,3,1
Atlético-mg,Criciúma,7,11228,10,1,5818,7,-6,0
Santos,Flamengo,7,12980,7,1,14776,5,-4,0
Botafogo-rj,Vitória,7,11764,4,-1,9468,5,-2,0
Athlético-pr,Coritiba,7,12952,6,-1,11572,4,-2,1
Chapecoense,Palmeiras,7,3557,2,-4,12680,12,2,1
Sport,Corinthians,7,6740,10,0,15048,9,2,-1
Internacional,Cruzeiro,7,13936,12,3,13512,13,4,-1
Figueirense,Goiás,7,6248,3,-8,11526,11,2,-1
Sport,Grêmio,8,6740,10,-3,15286,13,2,0
Athlético-pr,São paulo,8,12952,9,1,13712,12,3,0
Goiás,Vitória,8,11526,14,3,9468,6,-2,0
Atlético-mg,Fluminense,8,11228,11,1,14424,15,8,1
Palmeiras,Botafogo-rj,8,12680,12,0,11764,5,-1,-1
Corinthians,Cruzeiro,8,15048,12,5,13512,16,6,1
Criciúma,Coritiba,8,5818,8,-6,11572,4,-4,1
Internacional,Chapecoense,8,13936,12,1,3557,5,-2,1
Flamengo,Figueirense,8,14776,6,-4,6248,3,-9,0
Bahia,Santos,8,9406,8,0,12980,8,1,-1
Coritiba,Goiás,9,11572,4,-5,11526,15,3,1
São paulo,Atlético-mg,9,13712,13,3,11228,14,3,1
Vitória,Sport,9,9468,7,-2,6740,11,-3,-1
Corinthians,Botafogo-rj,9,15048,15,6,11764,8,1,0
Fluminense,Internacional,9,14424,15,6,13936,15,3,0
Grêmio,Palmeiras,9,15286,14,2,12680,12,-2,0
Figueirense,Athlético-pr,9,6248,4,-9,12952,10,1,-1
Chapecoense,Bahia,9,3557,5,-4,9406,8,-2,1
Cruzeiro,Flamengo,9,13512,16,5,14776,7,-4,1
Santos,Criciúma,9,12980,11,3,5818,11,-5,1
Sport,Bahia,5,6740,7,1,9406,7,2,1
Grêmio,Goiás,10,15286,15,2,11526,15,0,0
Flamengo,Athlético-pr,10,14776,7,-7,12952,13,3,-1
Criciúma,Fluminense,10,5818,11,-7,14424,16,6,1
Coritiba,Figueirense,10,11572,7,-2,6248,4,-11,-1
Bahia,São paulo,10,9406,8,-3,13712,16,4,-1
Sport,Botafogo-rj,10,6740,14,-2,11764,9,1,1
Corinthians,Internacional,10,15048,16,6,13936,16,3,1
Cruzeiro,Vitória,10,13512,19,8,9468,7,-3,1
Santos,Palmeiras,10,12980,14,5,12680,13,-2,1
Atlético-mg,Bahia,11,11228,15,2,9406,8,-5,0
